area,Typeoflocation,time,Weather,typeofvehicle,ageofvehicle,natureofaccidents,causeofaccidents,accidentvictimsage,eduofdriver,accordingtoResponsibilitiesofDriver,speed,roadconditions,roadfeature,typeofjunction,typeoftrafficcontrol,OwnerofTypeofVehiclesandTypeofLicence,Gender
Satpur Colony,open area,12am-3am,cloudy,3 wheeler,6-8year,right turn collision,fault of driver,unknown age,9-10std,did not give right of way to vehicle,50-70,incline road,3 Lanes or more without central Divider Median,t junction,traffic light signal,owner of private vehicle,female
Indira nagar,open area,6am-9am,light rain,3 wheeler,1-2year,rear end collision,defect in condition of motor vehicle,45-54years,upto 8th std,followed too closely,<30,Kutcha Roads,single lane,junction with >4 arms,stop sign,owner of public commercial vehicle,female
Satpur Colony,near petrol pump,9am-12pm,heavy rain,"car/jeep/taxi,buses(4 wheeler)",6-8year,skiding,fault of driver,45-54years,above 10th std,give improper signal,<30,Wet road,4 Lanes or more with central divider,unmanned rail crossing,traffic light signal,owner of public commercial vehicle,male
Ambad Gaon,near school/college,12pm-3pm,fine,3 wheeler,>10,hit and run,poor light,65 and above,not known,followed too closely,>70,Wet road,single lane,junction with >4 arms,police controlled,owner of private vehicle,female
Panchvati,near or inside a village,12am-3am,fine,2 wheeler,8-10year,head on collision,fault of driver,<5years,not known,excceding lawful speed,>70,rutted/pot holes,two lane,unmanned rail crossing,traffic light signal,paid driver,male
Panchvati,near a religious place,3am-6am,light rain,other motor vehicles,4-6year,hit and run,fault of pedestrian,15-17years,upto 8th std,passed on curve,<30,Surfaced Roads,3 Lanes or more without central Divider Median,v junction,stop sign,owner of public commercial vehicle,male
Nasik road,open area,6am-9am,light rain,other motor vehicles,1-2year,skiding,poor light,18-20years,9-10std,on wrong side of the road,30-50,Surfaced Roads,3 Lanes or more without central Divider Median,v junction,flashing signal/blinker,without licence,female
Nasik road,near hospital,9am-12pm,fine,3 wheeler,<1,collision brush/side swip,defect in condition of motor vehicle,<5years,upto 8th std,passed on curve,30-50,muddy/oily/slippery,single lane,t junction,stop sign,regular licence,female
Indira nagar,at pedestrian crossing,9pm-12am,fine,3 wheeler,<1,rear end collision,defect in road condition,unknown age,not known,did not give right of way to pedestrian,>70,muddy/oily/slippery,3 Lanes or more without central Divider Median,staggered jucntion,traffic light signal,regular licence,female
Indira nagar,near school/college,9pm-12am,fine,"car/jeep/taxi,buses(4 wheeler)",4-6year,right turn collision,neglect of civic bodies,unknown age,above 10th std,passed on curve,30-50,incline road,two lane,unmanned rail crossing,police controlled,paid driver,female
Indira nagar,near school/college,9pm-12am,fine,"trucks ,tempos,tracto",<1,skiding,defect in road condition,21-24years,9-10std,give improper signal,30-50,Kutcha Roads,4 Lanes or more with central divider,t junction,police controlled,paid driver,female
Panchvati,residential area,3pm-6pm,heavy rain,3 wheeler,2-4year,collision brush/side swip,defect in condition of motor vehicle,6-9years,not known,cut in sharply after passing,30-50,incline road,single lane,v junction,flashing signal/blinker,others,female
Satpur Colony,near bus stop,3pm-6pm,fine,2 wheeler,4-6year,overturning,defect in condition of motor vehicle,6-9years,not known,passed on hill,30-50,speed breaker,3 Lanes or more without central Divider Median,junction with >4 arms,flashing signal/blinker,others,female
Nasik road,narrow bridge or culverts,3pm-6pm,fine,other motor vehicles,>10,hit and run,defect in road condition,<5years,9-10std,did not give right of way to pedestrian,30-50,Kutcha Roads,4 Lanes or more with central divider,unmanned rail crossing,flashing signal/blinker,regular licence,male
Panchvati,near a recreation place/cinema,3pm-6pm,light rain,2 wheeler,1-2year,overturning,defect in road condition,6-9years,above 10th std,failed to give signal,30-50,straight road,4 Lanes or more with central divider,staggered jucntion,uncontolled,others,female
Nasik road,in bazar,6pm-9pm,cloudy,2 wheeler,>10,overturning,fault of pedestrian,18-20years,not known,other improper passsing,50-70,incline road,two lane,manned rail crossing,traffic light signal,learners licence,male
Nasik road,near or inside a village,12pm-3pm,light rain,other motor vehicles,6-8year,head on collision,fault of driver,unknown age,9-10std,give improper signal,30-50,Kutcha Roads,3 Lanes or more without central Divider Median,v junction,stop sign,others,male
Ambad Gaon,near hospital,3pm-6pm,light rain,other motor vehicles,<1,hit and run,defect in road condition,35-44years,not known,failed to give signal,30-50,road under construction/repair,4 Lanes or more with central divider,four arm junction,police controlled,owner of private vehicle,male
Indira nagar,near office complex,6am-9am,light rain,2 wheeler,6-8year,hit and run,weather condition,35-44years,above 10th std,did not give right of way to pedestrian,30-50,Wet road,3 Lanes or more without central Divider Median,unmanned rail crossing,uncontolled,regular licence,male
Panchvati,at pedestrian crossing,6am-9am,cloudy,3 wheeler,8-10year,hit and run,defect in condition of motor vehicle,65 and above,above 10th std,other improper passsing,50-70,incline road,two lane,t junction,uncontolled,without licence,male
Panchvati,near or inside a village,6am-9am,cloudy,3 wheeler,2-4year,collision brush/side swip,defect in road condition,55-64years,9-10std,alcohol intake,30-50,speed breaker,two lane,junction with >4 arms,stop sign,paid driver,male
Satpur Colony,residential area,6pm-9pm,light rain,"car/jeep/taxi,buses(4 wheeler)",1-2year,overturning,fault of driver,25-34years,above 10th std,passed on hill,50-70,muddy/oily/slippery,single lane,manned rail crossing,uncontolled,without licence,male
Panchvati,open area,6pm-9pm,heavy rain,"car/jeep/taxi,buses(4 wheeler)",6-8year,hit and run,weather condition,18-20years,upto 8th std,give improper signal,30-50,rutted/pot holes,3 Lanes or more without central Divider Median,staggered jucntion,traffic light signal,owner of public commercial vehicle,male
Indira nagar,near a religious place,3pm-6pm,cloudy,other motor vehicles,4-6year,rear end collision,fault of pedestrian,unknown age,9-10std,cut in sharply after passing,<30,speed breaker,two lane,junction with >4 arms,police controlled,learners licence,male
Panchvati,near petrol pump,6am-9am,light rain,2 wheeler,>10,head on collision,poor light,10-14years,above 10th std,followed too closely,50-70,straight road,4 Lanes or more with central divider,manned rail crossing,police controlled,regular licence,male
Indira nagar,near office complex,3am-6am,light rain,3 wheeler,>10,right turn collision,weather condition,55-64years,above 10th std,did not give right of way to pedestrian,30-50,road under construction/repair,single lane,four arm junction,traffic light signal,without licence,female
Panchvati,near bus stop,9pm-12am,fine,3 wheeler,<1,hit and run,poor light,10-14years,above 10th std,other improper passsing,30-50,road under construction/repair,3 Lanes or more without central Divider Median,t junction,traffic light signal,owner of public commercial vehicle,male
Nasik road,open area,12am-3am,light rain,other motor vehicles,6-8year,head on collision,neglect of civic bodies,35-44years,above 10th std,give improper signal,50-70,incline road,two lane,v junction,flashing signal/blinker,owner of private vehicle,female
Satpur Colony,in bazar,9am-12pm,heavy rain,"trucks ,tempos,tracto",1-2year,rear end collision,poor light,55-64years,not known,alcohol intake,50-70,incline road,two lane,staggered jucntion,traffic light signal,owner of public commercial vehicle,male
Panchvati,residential area,6pm-9pm,light rain,"car/jeep/taxi,buses(4 wheeler)",8-10year,head on collision,neglect of civic bodies,21-24years,not known,did not give right of way to vehicle,50-70,rutted/pot holes,3 Lanes or more without central Divider Median,t junction,flashing signal/blinker,regular licence,female
Nasik road,near a factory or indu. Area,12am-3am,heavy rain,"car/jeep/taxi,buses(4 wheeler)",<1,head on collision,poor light,unknown age,9-10std,excceding lawful speed,<30,incline road,two lane,manned rail crossing,police controlled,regular licence,female
Panchvati,in bazar,9pm-12am,cloudy,3 wheeler,>10,right turn collision,fault of pedestrian,<5years,upto 8th std,did not give right of way to pedestrian,50-70,muddy/oily/slippery,two lane,junction with >4 arms,traffic light signal,owner of private vehicle,male
Ambad Gaon,in bazar,9pm-12am,light rain,other motor vehicles,6-8year,overturning,defect in condition of motor vehicle,6-9years,upto 8th std,excceding lawful speed,30-50,Surfaced Roads,3 Lanes or more without central Divider Median,staggered jucntion,uncontolled,others,female
Indira nagar,in bazar,3pm-6pm,cloudy,2 wheeler,<1,overturning,fault of driver,21-24years,above 10th std,failed to give signal,50-70,muddy/oily/slippery,single lane,t junction,flashing signal/blinker,learners licence,female
Panchvati,in bazar,12am-3am,fine,"car/jeep/taxi,buses(4 wheeler)",>10,hit and run,weather condition,10-14years,9-10std,did not give right of way to pedestrian,<30,Surfaced Roads,4 Lanes or more with central divider,four arm junction,flashing signal/blinker,paid driver,female
Panchvati,in bazar,6pm-9pm,cloudy,"trucks ,tempos,tracto",2-4year,right turn collision,neglect of civic bodies,6-9years,9-10std,failed to give signal,30-50,road under construction/repair,single lane,staggered jucntion,traffic light signal,learners licence,male
Ambad Gaon,open area,12pm-3pm,heavy rain,other motor vehicles,2-4year,head on collision,poor light,6-9years,9-10std,failed to give signal,50-70,Surfaced Roads,single lane,manned rail crossing,flashing signal/blinker,learners licence,female
Nasik road,near or inside a village,9am-12pm,light rain,2 wheeler,2-4year,collision brush/side swip,weather condition,6-9years,upto 8th std,failed to give signal,<30,straight road,two lane,four arm junction,uncontolled,owner of public commercial vehicle,male
Satpur Colony,open area,3am-6am,fine,other motor vehicles,2-4year,overturning,weather condition,35-44years,upto 8th std,alcohol intake,30-50,straight road,3 Lanes or more without central Divider Median,t junction,stop sign,learners licence,male
Indira nagar,at pedestrian crossing,6am-9am,fine,"car/jeep/taxi,buses(4 wheeler)",8-10year,rear end collision,defect in road condition,35-44years,upto 8th std,passed on curve,>70,straight road,3 Lanes or more without central Divider Median,manned rail crossing,uncontolled,owner of private vehicle,male
Ambad Gaon,open area,9pm-12am,cloudy,"car/jeep/taxi,buses(4 wheeler)",2-4year,collision brush/side swip,poor light,45-54years,9-10std,did not give right of way to pedestrian,30-50,Wet road,single lane,unmanned rail crossing,traffic light signal,paid driver,female
Panchvati,near school/college,12am-3am,fine,"car/jeep/taxi,buses(4 wheeler)",8-10year,overturning,defect in condition of motor vehicle,21-24years,upto 8th std,other improper passsing,30-50,road under construction/repair,two lane,round about junction,uncontolled,learners licence,male
Nasik road,residential area,9pm-12am,fine,other motor vehicles,6-8year,overturning,poor light,25-34years,9-10std,did not give right of way to vehicle,30-50,road under construction/repair,4 Lanes or more with central divider,unmanned rail crossing,police controlled,others,female
Panchvati,residential area,9pm-12am,cloudy,other motor vehicles,6-8year,skiding,poor light,unknown age,above 10th std,passed on curve,>70,incline road,4 Lanes or more with central divider,v junction,traffic light signal,regular licence,female
Panchvati,near hospital,9am-12pm,light rain,"car/jeep/taxi,buses(4 wheeler)",1-2year,skiding,poor light,18-20years,not known,passed on hill,<30,speed breaker,4 Lanes or more with central divider,junction with >4 arms,flashing signal/blinker,others,male
Panchvati,near a recreation place/cinema,6pm-9pm,heavy rain,3 wheeler,6-8year,overturning,fault of driver,unknown age,not known,other improper passsing,50-70,muddy/oily/slippery,single lane,junction with >4 arms,uncontolled,without licence,male
Nasik road,near bus stop,6am-9am,heavy rain,3 wheeler,>10,collision brush/side swip,neglect of civic bodies,10-14years,not known,followed too closely,50-70,speed breaker,single lane,round about junction,uncontolled,owner of public commercial vehicle,male
Nasik road,near a recreation place/cinema,6am-9am,light rain,2 wheeler,<1,head on collision,defect in road condition,15-17years,not known,excceding lawful speed,>70,road under construction/repair,3 Lanes or more without central Divider Median,t junction,traffic light signal,without licence,male
Nasik road,residential area,9am-12pm,fine,3 wheeler,6-8year,collision brush/side swip,weather condition,55-64years,upto 8th std,excceding lawful speed,>70,incline road,single lane,junction with >4 arms,flashing signal/blinker,regular licence,female
Nasik road,at pedestrian crossing,3am-6am,cloudy,other motor vehicles,2-4year,collision brush/side swip,defect in condition of motor vehicle,21-24years,upto 8th std,excceding lawful speed,50-70,speed breaker,3 Lanes or more without central Divider Median,unmanned rail crossing,traffic light signal,others,female
Satpur Colony,at pedestrian crossing,9pm-12am,fine,2 wheeler,<1,head on collision,defect in condition of motor vehicle,45-54years,9-10std,give improper signal,>70,straight road,single lane,t junction,flashing signal/blinker,others,male
Panchvati,near a religious place,12am-3am,fine,2 wheeler,4-6year,collision brush/side swip,fault of pedestrian,35-44years,not known,followed too closely,>70,Kutcha Roads,4 Lanes or more with central divider,manned rail crossing,police controlled,owner of public commercial vehicle,female
Satpur Colony,near office complex,9am-12pm,heavy rain,"trucks ,tempos,tracto",6-8year,head on collision,weather condition,55-64years,above 10th std,on wrong side of the road,>70,Wet road,two lane,v junction,police controlled,learners licence,male
Ambad Gaon,narrow bridge or culverts,9pm-12am,heavy rain,2 wheeler,<1,rear end collision,defect in road condition,25-34years,not known,followed too closely,<30,incline road,3 Lanes or more without central Divider Median,four arm junction,traffic light signal,owner of private vehicle,male
Ambad Gaon,open area,12pm-3pm,fine,2 wheeler,<1,right turn collision,defect in condition of motor vehicle,55-64years,not known,did not give right of way to pedestrian,>70,speed breaker,single lane,staggered jucntion,flashing signal/blinker,regular licence,male
Satpur Colony,near school/college,6am-9am,cloudy,2 wheeler,4-6year,hit and run,poor light,45-54years,9-10std,followed too closely,>70,Wet road,3 Lanes or more without central Divider Median,v junction,traffic light signal,owner of private vehicle,male
Satpur Colony,near or inside a village,6am-9am,cloudy,"car/jeep/taxi,buses(4 wheeler)",<1,rear end collision,weather condition,15-17years,not known,failed to give signal,<30,rutted/pot holes,4 Lanes or more with central divider,round about junction,flashing signal/blinker,owner of private vehicle,female
Panchvati,narrow bridge or culverts,12pm-3pm,light rain,3 wheeler,6-8year,overturning,fault of pedestrian,15-17years,not known,followed too closely,30-50,muddy/oily/slippery,two lane,staggered jucntion,police controlled,owner of private vehicle,female
Indira nagar,near office complex,9pm-12am,heavy rain,"trucks ,tempos,tracto",2-4year,rear end collision,weather condition,55-64years,not known,passed on curve,>70,Kutcha Roads,single lane,staggered jucntion,police controlled,paid driver,female
Panchvati,at pedestrian crossing,3pm-6pm,fine,other motor vehicles,6-8year,right turn collision,defect in road condition,unknown age,upto 8th std,passed on hill,30-50,speed breaker,single lane,v junction,traffic light signal,learners licence,male
Satpur Colony,residential area,6am-9am,heavy rain,"car/jeep/taxi,buses(4 wheeler)",2-4year,rear end collision,defect in condition of motor vehicle,unknown age,9-10std,passed on hill,50-70,rutted/pot holes,4 Lanes or more with central divider,four arm junction,police controlled,regular licence,male
Indira nagar,near a religious place,6am-9am,cloudy,2 wheeler,1-2year,skiding,fault of pedestrian,6-9years,above 10th std,did not give right of way to vehicle,50-70,muddy/oily/slippery,4 Lanes or more with central divider,staggered jucntion,traffic light signal,owner of public commercial vehicle,female
Satpur Colony,near office complex,3pm-6pm,cloudy,other motor vehicles,<1,head on collision,poor light,unknown age,upto 8th std,failed to give signal,30-50,Surfaced Roads,3 Lanes or more without central Divider Median,junction with >4 arms,flashing signal/blinker,others,male
Panchvati,open area,6am-9am,fine,"car/jeep/taxi,buses(4 wheeler)",4-6year,skiding,fault of driver,15-17years,not known,other improper passsing,>70,speed breaker,single lane,four arm junction,police controlled,owner of public commercial vehicle,male
Panchvati,near bus stop,6pm-9pm,light rain,3 wheeler,4-6year,skiding,fault of pedestrian,6-9years,not known,cut in sharply after passing,30-50,Surfaced Roads,4 Lanes or more with central divider,t junction,uncontolled,owner of private vehicle,male
Nasik road,open area,9pm-12am,heavy rain,2 wheeler,>10,rear end collision,defect in condition of motor vehicle,25-34years,upto 8th std,excceding lawful speed,>70,speed breaker,two lane,staggered jucntion,police controlled,owner of private vehicle,female
Indira nagar,narrow bridge or culverts,3pm-6pm,heavy rain,3 wheeler,<1,skiding,defect in road condition,<5years,above 10th std,give improper signal,<30,Wet road,two lane,v junction,flashing signal/blinker,owner of public commercial vehicle,female
Nasik road,near school/college,12pm-3pm,light rain,2 wheeler,>10,skiding,defect in road condition,55-64years,not known,give improper signal,>70,Kutcha Roads,4 Lanes or more with central divider,round about junction,traffic light signal,owner of public commercial vehicle,female
Ambad Gaon,residential area,3pm-6pm,heavy rain,other motor vehicles,4-6year,overturning,poor light,10-14years,not known,on wrong side of the road,>70,road under construction/repair,two lane,junction with >4 arms,uncontolled,learners licence,female
Panchvati,narrow bridge or culverts,6am-9am,fine,3 wheeler,1-2year,overturning,defect in condition of motor vehicle,<5years,above 10th std,on wrong side of the road,30-50,speed breaker,4 Lanes or more with central divider,unmanned rail crossing,flashing signal/blinker,owner of private vehicle,female
Nasik road,at pedestrian crossing,3pm-6pm,cloudy,"trucks ,tempos,tracto",<1,collision brush/side swip,defect in road condition,6-9years,above 10th std,failed to give signal,<30,incline road,two lane,t junction,stop sign,without licence,male
Nasik road,near a factory or indu. Area,6am-9am,fine,2 wheeler,6-8year,head on collision,fault of pedestrian,18-20years,not known,passed on hill,30-50,rutted/pot holes,3 Lanes or more without central Divider Median,staggered jucntion,flashing signal/blinker,learners licence,male
Ambad Gaon,narrow bridge or culverts,6am-9am,heavy rain,2 wheeler,>10,skiding,fault of driver,45-54years,above 10th std,other improper passsing,50-70,Surfaced Roads,3 Lanes or more without central Divider Median,t junction,uncontolled,others,male
Panchvati,narrow bridge or culverts,3am-6am,cloudy,"car/jeep/taxi,buses(4 wheeler)",6-8year,head on collision,defect in condition of motor vehicle,65 and above,9-10std,passed on curve,30-50,road under construction/repair,single lane,round about junction,uncontolled,others,male
Ambad Gaon,near a religious place,12pm-3pm,cloudy,2 wheeler,<1,hit and run,defect in road condition,6-9years,above 10th std,give improper signal,50-70,straight road,single lane,unmanned rail crossing,police controlled,others,female
Indira nagar,near petrol pump,12pm-3pm,heavy rain,"car/jeep/taxi,buses(4 wheeler)",6-8year,hit and run,defect in road condition,45-54years,not known,on wrong side of the road,>70,incline road,3 Lanes or more without central Divider Median,manned rail crossing,uncontolled,others,male
Indira nagar,near a recreation place/cinema,9pm-12am,fine,2 wheeler,>10,right turn collision,defect in road condition,25-34years,above 10th std,on wrong side of the road,30-50,speed breaker,4 Lanes or more with central divider,manned rail crossing,traffic light signal,without licence,male
Ambad Gaon,near a factory or indu. Area,3pm-6pm,fine,"car/jeep/taxi,buses(4 wheeler)",4-6year,hit and run,defect in condition of motor vehicle,18-20years,upto 8th std,passed on curve,30-50,Surfaced Roads,4 Lanes or more with central divider,v junction,stop sign,others,female
Satpur Colony,near a factory or indu. Area,12pm-3pm,heavy rain,other motor vehicles,8-10year,skiding,defect in condition of motor vehicle,65 and above,upto 8th std,did not give right of way to vehicle,50-70,Wet road,two lane,staggered jucntion,uncontolled,without licence,female
Satpur Colony,near hospital,3pm-6pm,light rain,"trucks ,tempos,tracto",8-10year,head on collision,weather condition,unknown age,upto 8th std,cut in sharply after passing,>70,road under construction/repair,3 Lanes or more without central Divider Median,unmanned rail crossing,uncontolled,others,male
Pathardi fata,near petrol pump,6am-9am,fine,3 wheeler,<1,rear end collision,fault of driver,10-14years,upto 8th std,on wrong side of the road,50-70,road under construction/repair,3 Lanes or more without central Divider Median,manned rail crossing,uncontolled,without licence,male
Panchvati,near a factory or indu. Area,3am-6am,heavy rain,other motor vehicles,1-2year,collision brush/side swip,fault of pedestrian,15-17years,not known,on wrong side of the road,30-50,incline road,single lane,junction with >4 arms,flashing signal/blinker,others,male
Nasik road,near bus stop,12pm-3pm,fine,other motor vehicles,2-4year,hit and run,defect in condition of motor vehicle,18-20years,not known,failed to give signal,<30,incline road,single lane,v junction,traffic light signal,without licence,female
Adgaon,open area,6pm-9pm,light rain,3 wheeler,6-8year,collision brush/side swip,fault of driver,45-54years,upto 8th std,other improper passsing,30-50,speed breaker,two lane,unmanned rail crossing,flashing signal/blinker,learners licence,female
Adgaon,near school/college,3pm-6pm,fine,"car/jeep/taxi,buses(4 wheeler)",8-10year,right turn collision,poor light,55-64years,upto 8th std,did not give right of way to vehicle,30-50,Kutcha Roads,3 Lanes or more without central Divider Median,manned rail crossing,flashing signal/blinker,learners licence,male
Dwarka,near bus stop,12am-3am,light rain,other motor vehicles,>10,skiding,fault of pedestrian,10-14years,9-10std,followed too closely,>70,Surfaced Roads,two lane,v junction,stop sign,learners licence,female
Sneh nagar,near bus stop,3pm-6pm,cloudy,2 wheeler,6-8year,right turn collision,defect in road condition,unknown age,not known,alcohol intake,>70,speed breaker,two lane,unmanned rail crossing,stop sign,without licence,male
Adgaon,near a factory or indu. Area,6am-9am,light rain,"trucks ,tempos,tracto",6-8year,hit and run,weather condition,10-14years,not known,give improper signal,30-50,incline road,4 Lanes or more with central divider,manned rail crossing,flashing signal/blinker,owner of private vehicle,male
Satpur Colony,in bazar,6pm-9pm,fine,"car/jeep/taxi,buses(4 wheeler)",<1,skiding,fault of pedestrian,18-20years,above 10th std,did not give right of way to pedestrian,50-70,Kutcha Roads,single lane,staggered jucntion,stop sign,regular licence,male
Satpur Colony,in bazar,9am-12pm,cloudy,"car/jeep/taxi,buses(4 wheeler)",>10,rear end collision,defect in condition of motor vehicle,<5years,not known,excceding lawful speed,>70,speed breaker,3 Lanes or more without central Divider Median,manned rail crossing,uncontolled,regular licence,female
Indira nagar,near or inside a village,6pm-9pm,cloudy,"trucks ,tempos,tracto",4-6year,collision brush/side swip,weather condition,55-64years,upto 8th std,alcohol intake,50-70,Kutcha Roads,two lane,t junction,flashing signal/blinker,owner of private vehicle,female
Pathardi fata,near bus stop,6am-9am,cloudy,other motor vehicles,2-4year,hit and run,neglect of civic bodies,55-64years,not known,did not give right of way to vehicle,<30,incline road,3 Lanes or more without central Divider Median,staggered jucntion,uncontolled,owner of public commercial vehicle,female
Satpur Colony,near or inside a village,12am-3am,cloudy,"trucks ,tempos,tracto",<1,skiding,fault of pedestrian,15-17years,above 10th std,followed too closely,>70,straight road,4 Lanes or more with central divider,staggered jucntion,police controlled,paid driver,male
Pathardi fata,at pedestrian crossing,9pm-12am,heavy rain,2 wheeler,1-2year,right turn collision,neglect of civic bodies,55-64years,upto 8th std,cut in sharply after passing,50-70,rutted/pot holes,two lane,v junction,police controlled,paid driver,female
Nasik road,near or inside a village,12pm-3pm,cloudy,"car/jeep/taxi,buses(4 wheeler)",1-2year,skiding,neglect of civic bodies,<5years,above 10th std,other improper passsing,<30,incline road,4 Lanes or more with central divider,four arm junction,stop sign,learners licence,female
Adgaon,at pedestrian crossing,12am-3am,cloudy,"trucks ,tempos,tracto",6-8year,hit and run,defect in road condition,45-54years,upto 8th std,on wrong side of the road,>70,incline road,two lane,junction with >4 arms,flashing signal/blinker,owner of public commercial vehicle,male
Nasik road,near hospital,9am-12pm,light rain,other motor vehicles,4-6year,hit and run,fault of driver,18-20years,9-10std,did not give right of way to vehicle,30-50,straight road,single lane,four arm junction,stop sign,without licence,female
Sneh nagar,at pedestrian crossing,6am-9am,light rain,"car/jeep/taxi,buses(4 wheeler)",4-6year,head on collision,defect in condition of motor vehicle,21-24years,above 10th std,failed to give signal,<30,Surfaced Roads,3 Lanes or more without central Divider Median,v junction,traffic light signal,others,female
Nasik road,near school/college,6pm-9pm,fine,"car/jeep/taxi,buses(4 wheeler)",1-2year,overturning,defect in condition of motor vehicle,15-17years,upto 8th std,passed on hill,50-70,road under construction/repair,two lane,t junction,police controlled,owner of private vehicle,male
Pathardi fata,near hospital,9am-12pm,fine,"car/jeep/taxi,buses(4 wheeler)",8-10year,rear end collision,defect in condition of motor vehicle,unknown age,9-10std,did not give right of way to pedestrian,<30,rutted/pot holes,4 Lanes or more with central divider,staggered jucntion,stop sign,others,male
Sneh nagar,near hospital,12pm-3pm,heavy rain,2 wheeler,>10,overturning,fault of pedestrian,25-34years,9-10std,did not give right of way to vehicle,>70,rutted/pot holes,3 Lanes or more without central Divider Median,four arm junction,flashing signal/blinker,paid driver,female
Ambad Gaon,near bus stop,6pm-9pm,fine,"car/jeep/taxi,buses(4 wheeler)",6-8year,rear end collision,poor light,18-20years,9-10std,other improper passsing,30-50,straight road,single lane,manned rail crossing,stop sign,owner of private vehicle,male
Adgaon,near bus stop,12pm-3pm,cloudy,other motor vehicles,8-10year,hit and run,fault of driver,45-54years,above 10th std,passed on curve,<30,Surfaced Roads,3 Lanes or more without central Divider Median,four arm junction,flashing signal/blinker,others,male
Adgaon,at pedestrian crossing,12pm-3pm,heavy rain,other motor vehicles,2-4year,skiding,poor light,65 and above,not known,alcohol intake,30-50,muddy/oily/slippery,3 Lanes or more without central Divider Median,four arm junction,traffic light signal,others,male
Indira nagar,near petrol pump,3am-6am,light rain,other motor vehicles,<1,overturning,fault of driver,10-14years,9-10std,passed on hill,>70,incline road,single lane,staggered jucntion,stop sign,paid driver,female
Pathardi fata,near a religious place,6am-9am,cloudy,other motor vehicles,4-6year,right turn collision,fault of pedestrian,55-64years,not known,excceding lawful speed,<30,Surfaced Roads,single lane,junction with >4 arms,uncontolled,owner of private vehicle,male
Panchvati,near a factory or indu. Area,3pm-6pm,light rain,other motor vehicles,1-2year,collision brush/side swip,fault of pedestrian,65 and above,9-10std,on wrong side of the road,50-70,incline road,4 Lanes or more with central divider,t junction,uncontolled,without licence,male
Sneh nagar,near bus stop,9am-12pm,light rain,"car/jeep/taxi,buses(4 wheeler)",2-4year,overturning,fault of pedestrian,35-44years,9-10std,alcohol intake,<30,rutted/pot holes,3 Lanes or more without central Divider Median,v junction,stop sign,learners licence,male
Nasik road,near petrol pump,6am-9am,light rain,other motor vehicles,<1,skiding,defect in road condition,21-24years,not known,other improper passsing,<30,Kutcha Roads,two lane,four arm junction,stop sign,regular licence,male
Satpur Colony,in bazar,9am-12pm,heavy rain,"trucks ,tempos,tracto",>10,head on collision,defect in road condition,unknown age,9-10std,did not give right of way to vehicle,30-50,incline road,single lane,round about junction,flashing signal/blinker,regular licence,female
Adgaon,near petrol pump,3am-6am,light rain,2 wheeler,8-10year,head on collision,neglect of civic bodies,10-14years,9-10std,did not give right of way to pedestrian,30-50,muddy/oily/slippery,4 Lanes or more with central divider,unmanned rail crossing,stop sign,without licence,female
Adgaon,narrow bridge or culverts,3am-6am,light rain,other motor vehicles,4-6year,skiding,defect in road condition,35-44years,9-10std,failed to give signal,>70,rutted/pot holes,two lane,unmanned rail crossing,stop sign,without licence,female
Ambad Gaon,at pedestrian crossing,3pm-6pm,heavy rain,"trucks ,tempos,tracto",1-2year,right turn collision,defect in condition of motor vehicle,65 and above,not known,excceding lawful speed,<30,road under construction/repair,two lane,unmanned rail crossing,uncontolled,paid driver,male
Pathardi fata,near bus stop,9am-12pm,cloudy,2 wheeler,4-6year,head on collision,defect in condition of motor vehicle,18-20years,not known,did not give right of way to vehicle,<30,speed breaker,4 Lanes or more with central divider,staggered jucntion,traffic light signal,owner of private vehicle,male
Indira nagar,near school/college,3am-6am,cloudy,2 wheeler,4-6year,skiding,defect in condition of motor vehicle,10-14years,upto 8th std,passed on hill,>70,straight road,3 Lanes or more without central Divider Median,v junction,uncontolled,regular licence,female
Adgaon,near or inside a village,6am-9am,light rain,"trucks ,tempos,tracto",>10,head on collision,fault of pedestrian,35-44years,not known,cut in sharply after passing,<30,Wet road,two lane,t junction,stop sign,paid driver,male
Panchvati,near a religious place,9pm-12am,cloudy,"trucks ,tempos,tracto",4-6year,rear end collision,defect in road condition,35-44years,not known,alcohol intake,>70,rutted/pot holes,4 Lanes or more with central divider,v junction,traffic light signal,without licence,male
Pathardi fata,near school/college,12pm-3pm,cloudy,"trucks ,tempos,tracto",6-8year,head on collision,defect in road condition,15-17years,not known,excceding lawful speed,50-70,road under construction/repair,single lane,round about junction,uncontolled,learners licence,female
Satpur Colony,near a recreation place/cinema,12pm-3pm,heavy rain,2 wheeler,6-8year,rear end collision,defect in condition of motor vehicle,15-17years,above 10th std,did not give right of way to vehicle,>70,muddy/oily/slippery,single lane,v junction,stop sign,owner of public commercial vehicle,male
Satpur Colony,near school/college,3pm-6pm,fine,2 wheeler,1-2year,overturning,poor light,55-64years,above 10th std,passed on curve,<30,incline road,single lane,manned rail crossing,flashing signal/blinker,owner of public commercial vehicle,male
Adgaon,at pedestrian crossing,9pm-12am,fine,"car/jeep/taxi,buses(4 wheeler)",2-4year,overturning,defect in condition of motor vehicle,6-9years,upto 8th std,alcohol intake,30-50,speed breaker,3 Lanes or more without central Divider Median,staggered jucntion,stop sign,learners licence,male
