area,Typeoflocation,time,Weather,typeofvehicle,ageofvehicle,natureofaccidents,causeofaccidents,accidentvictimsage,eduofdriver,accordingtoResponsibilitiesofDriver,speed,roadconditions,roadfeature,typeofjunction,typeoftrafficcontrol,OwnerofTypeofVehiclesandTypeofLicence,Gender
Kajupada,near or inside a village,6pm-9pm,heavy rain,3 wheeler,2-4year,hit and run,fault of driver,unknown age,upto 8th std,excceding lawful speed,50-70,Wet road,single lane,t junction,traffic light signal,paid driver,female
Ghatkopar-Mankhurd Link road,near or inside a village,12am-3am,heavy rain,"trucks ,tempos,tracto",6-8year,skiding,defect in condition of motor vehicle,45-54years,not known,followed too closely,>70,muddy/oily/slippery,3 Lanes or more without central Divider Median,round about junction,police controlled,owner of public commercial vehicle,female
Kajupada,near hospital,3am-6am,light rain,"trucks ,tempos,tracto",>10,head on collision,fault of driver,55-64years,upto 8th std,passed on curve,30-50,Wet road,4 Lanes or more with central divider,four arm junction,stop sign,regular licence,male
Ghatkopar-Mankhurd Link road,near or inside a village,9pm-12am,heavy rain,"car/jeep/taxi,buses(4 wheeler)",4-6year,skiding,fault of driver,45-54years,9-10std,failed to give signal,<30,Wet road,single lane,staggered jucntion,uncontolled,others,female
Asalpha,near a recreation place/cinema,9pm-12am,heavy rain,"trucks ,tempos,tracto",6-8year,right turn collision,fault of driver,55-64years,9-10std,give improper signal,>70,straight road,3 Lanes or more without central Divider Median,manned rail crossing,police controlled,without licence,female
Ghatkopar-Mankhurd Link road,near or inside a village,3am-6am,fine,"car/jeep/taxi,buses(4 wheeler)",2-4year,collision brush/side swip,weather condition,6-9years,not known,did not give right of way to vehicle,<30,rutted/pot holes,two lane,round about junction,uncontolled,owner of private vehicle,male
Ghatkopar-Mankhurd Link road,residential area,6am-9am,heavy rain,3 wheeler,4-6year,rear end collision,defect in condition of motor vehicle,<5years,upto 8th std,other improper passsing,50-70,straight road,3 Lanes or more without central Divider Median,manned rail crossing,stop sign,without licence,male
Barve Nagar,at pedestrian crossing,6pm-9pm,light rain,"car/jeep/taxi,buses(4 wheeler)",<1,skiding,weather condition,<5years,upto 8th std,alcohol intake,50-70,straight road,3 Lanes or more without central Divider Median,v junction,police controlled,without licence,female
Asalpha,near petrol pump,12pm-3pm,fine,2 wheeler,4-6year,collision brush/side swip,weather condition,55-64years,above 10th std,on wrong side of the road,>70,Wet road,two lane,unmanned rail crossing,flashing signal/blinker,others,female
Asalpha,near office complex,9pm-12am,light rain,"car/jeep/taxi,buses(4 wheeler)",1-2year,overturning,neglect of civic bodies,35-44years,9-10std,other improper passsing,>70,straight road,single lane,staggered jucntion,flashing signal/blinker,learners licence,male
Ghatkopar-Mankhurd Link road,near school/college,3pm-6pm,heavy rain,"trucks ,tempos,tracto",>10,collision brush/side swip,defect in road condition,15-17years,above 10th std,excceding lawful speed,>70,rutted/pot holes,4 Lanes or more with central divider,v junction,uncontolled,others,female
Ghatkopar-Mankhurd Link road,narrow bridge or culverts,3pm-6pm,light rain,3 wheeler,8-10year,right turn collision,neglect of civic bodies,35-44years,upto 8th std,followed too closely,<30,Wet road,two lane,four arm junction,traffic light signal,owner of public commercial vehicle,female
Ghatkopar-Mankhurd Link road,open area,3pm-6pm,light rain,2 wheeler,<1,overturning,poor light,15-17years,above 10th std,on wrong side of the road,>70,straight road,4 Lanes or more with central divider,staggered jucntion,traffic light signal,learners licence,male
Asalpha,near bus stop,6pm-9pm,fine,3 wheeler,6-8year,collision brush/side swip,fault of driver,55-64years,not known,give improper signal,>70,road under construction/repair,single lane,four arm junction,flashing signal/blinker,paid driver,female
Ghatkopar-Mankhurd Link road,in bazar,3pm-6pm,cloudy,"trucks ,tempos,tracto",6-8year,right turn collision,defect in road condition,25-34years,9-10std,failed to give signal,50-70,incline road,single lane,v junction,stop sign,paid driver,male
Kajupada,near a religious place,6pm-9pm,fine,other motor vehicles,<1,overturning,weather condition,15-17years,above 10th std,excceding lawful speed,50-70,Wet road,3 Lanes or more without central Divider Median,staggered jucntion,police controlled,paid driver,male
Ghatkopar-Mankhurd Link road,near bus stop,6pm-9pm,heavy rain,"car/jeep/taxi,buses(4 wheeler)",8-10year,skiding,weather condition,15-17years,upto 8th std,on wrong side of the road,30-50,Surfaced Roads,single lane,manned rail crossing,stop sign,regular licence,female
Barve Nagar,near a recreation place/cinema,9am-12pm,light rain,"car/jeep/taxi,buses(4 wheeler)",2-4year,hit and run,defect in road condition,65 and above,not known,followed too closely,30-50,rutted/pot holes,two lane,junction with >4 arms,flashing signal/blinker,owner of private vehicle,male
Asalpha,near a factory or indu. Area,9pm-12am,cloudy,other motor vehicles,<1,right turn collision,defect in road condition,45-54years,9-10std,give improper signal,<30,Kutcha Roads,single lane,unmanned rail crossing,flashing signal/blinker,others,male
Kajupada,near a factory or indu. Area,12am-3am,light rain,2 wheeler,8-10year,skiding,neglect of civic bodies,35-44years,above 10th std,passed on curve,50-70,straight road,3 Lanes or more without central Divider Median,t junction,stop sign,without licence,male
Ghatkopar-Mankhurd Link road,near petrol pump,12am-3am,fine,2 wheeler,>10,overturning,fault of pedestrian,35-44years,not known,excceding lawful speed,>70,Wet road,two lane,manned rail crossing,stop sign,without licence,male
Asalpha,at pedestrian crossing,3pm-6pm,light rain,2 wheeler,>10,overturning,fault of pedestrian,21-24years,9-10std,other improper passsing,<30,Kutcha Roads,single lane,four arm junction,flashing signal/blinker,regular licence,female
Asalpha,near or inside a village,6am-9am,heavy rain,"car/jeep/taxi,buses(4 wheeler)",>10,overturning,defect in condition of motor vehicle,45-54years,9-10std,followed too closely,50-70,muddy/oily/slippery,4 Lanes or more with central divider,t junction,police controlled,paid driver,male
Ghatkopar-Mankhurd Link road,narrow bridge or culverts,9am-12pm,fine,other motor vehicles,8-10year,right turn collision,fault of pedestrian,6-9years,upto 8th std,passed on hill,<30,rutted/pot holes,3 Lanes or more without central Divider Median,round about junction,flashing signal/blinker,without licence,female
Kajupada,near a religious place,3am-6am,heavy rain,"trucks ,tempos,tracto",8-10year,head on collision,weather condition,25-34years,upto 8th std,excceding lawful speed,30-50,Kutcha Roads,3 Lanes or more without central Divider Median,v junction,uncontolled,regular licence,female
Ghatkopar-Mankhurd Link road,in bazar,6am-9am,light rain,"trucks ,tempos,tracto",6-8year,hit and run,weather condition,18-20years,9-10std,excceding lawful speed,30-50,speed breaker,4 Lanes or more with central divider,junction with >4 arms,stop sign,owner of private vehicle,male
Kajupada,near school/college,12pm-3pm,light rain,2 wheeler,<1,overturning,neglect of civic bodies,15-17years,above 10th std,alcohol intake,>70,straight road,two lane,round about junction,traffic light signal,owner of private vehicle,male
Barve Nagar,in bazar,9am-12pm,light rain,2 wheeler,1-2year,head on collision,poor light,<5years,not known,on wrong side of the road,30-50,Kutcha Roads,single lane,t junction,police controlled,owner of public commercial vehicle,male
Kajupada,near hospital,6am-9am,heavy rain,2 wheeler,8-10year,rear end collision,defect in road condition,25-34years,not known,passed on hill,50-70,straight road,3 Lanes or more without central Divider Median,junction with >4 arms,traffic light signal,learners licence,male
Ghatkopar-Mankhurd Link road,near a recreation place/cinema,12am-3am,heavy rain,"trucks ,tempos,tracto",2-4year,head on collision,defect in road condition,45-54years,above 10th std,other improper passsing,50-70,straight road,3 Lanes or more without central Divider Median,unmanned rail crossing,uncontolled,regular licence,male
Asalpha,near petrol pump,9am-12pm,light rain,"car/jeep/taxi,buses(4 wheeler)",6-8year,head on collision,defect in condition of motor vehicle,10-14years,9-10std,excceding lawful speed,>70,straight road,single lane,round about junction,police controlled,regular licence,male
Asalpha,narrow bridge or culverts,3pm-6pm,heavy rain,"car/jeep/taxi,buses(4 wheeler)",2-4year,rear end collision,defect in condition of motor vehicle,6-9years,not known,failed to give signal,>70,speed breaker,4 Lanes or more with central divider,manned rail crossing,uncontolled,others,female
Barve Nagar,in bazar,3pm-6pm,fine,"car/jeep/taxi,buses(4 wheeler)",2-4year,hit and run,neglect of civic bodies,35-44years,9-10std,excceding lawful speed,50-70,road under construction/repair,3 Lanes or more without central Divider Median,junction with >4 arms,police controlled,regular licence,female
Ghatkopar-Mankhurd Link road,open area,9am-12pm,light rain,2 wheeler,2-4year,head on collision,defect in road condition,65 and above,upto 8th std,passed on curve,50-70,straight road,3 Lanes or more without central Divider Median,manned rail crossing,uncontolled,without licence,female
Kajupada,near or inside a village,12am-3am,light rain,2 wheeler,>10,collision brush/side swip,neglect of civic bodies,6-9years,9-10std,cut in sharply after passing,>70,muddy/oily/slippery,two lane,four arm junction,flashing signal/blinker,regular licence,male
Barve Nagar,near school/college,9pm-12am,heavy rain,3 wheeler,4-6year,collision brush/side swip,defect in road condition,21-24years,upto 8th std,cut in sharply after passing,50-70,road under construction/repair,single lane,t junction,police controlled,paid driver,female
Kajupada,near a religious place,9pm-12am,cloudy,"car/jeep/taxi,buses(4 wheeler)",6-8year,head on collision,weather condition,55-64years,not known,passed on curve,>70,incline road,4 Lanes or more with central divider,unmanned rail crossing,traffic light signal,owner of public commercial vehicle,female
Barve Nagar,near office complex,9am-12pm,heavy rain,2 wheeler,>10,overturning,fault of pedestrian,21-24years,upto 8th std,followed too closely,<30,straight road,3 Lanes or more without central Divider Median,junction with >4 arms,traffic light signal,owner of private vehicle,male
Ghatkopar-Mankhurd Link road,in bazar,9am-12pm,fine,2 wheeler,8-10year,right turn collision,poor light,25-34years,upto 8th std,give improper signal,30-50,Kutcha Roads,single lane,v junction,uncontolled,without licence,female
Ghatkopar-Mankhurd Link road,at pedestrian crossing,12am-3am,fine,3 wheeler,8-10year,overturning,defect in condition of motor vehicle,45-54years,9-10std,cut in sharply after passing,<30,rutted/pot holes,single lane,manned rail crossing,police controlled,paid driver,female
Asalpha,near or inside a village,9pm-12am,heavy rain,"car/jeep/taxi,buses(4 wheeler)",8-10year,right turn collision,defect in condition of motor vehicle,55-64years,upto 8th std,did not give right of way to vehicle,50-70,muddy/oily/slippery,3 Lanes or more without central Divider Median,four arm junction,flashing signal/blinker,owner of public commercial vehicle,male
Asalpha,near bus stop,3am-6am,heavy rain,"trucks ,tempos,tracto",2-4year,head on collision,fault of pedestrian,10-14years,upto 8th std,passed on curve,>70,muddy/oily/slippery,3 Lanes or more without central Divider Median,manned rail crossing,traffic light signal,owner of private vehicle,female
Asalpha,near office complex,12pm-3pm,light rain,other motor vehicles,1-2year,head on collision,fault of driver,35-44years,above 10th std,excceding lawful speed,30-50,Wet road,4 Lanes or more with central divider,unmanned rail crossing,stop sign,owner of private vehicle,male
Kajupada,near or inside a village,3pm-6pm,light rain,"trucks ,tempos,tracto",6-8year,overturning,weather condition,45-54years,not known,did not give right of way to pedestrian,30-50,Wet road,3 Lanes or more without central Divider Median,four arm junction,police controlled,others,female
Kajupada,near bus stop,3am-6am,light rain,2 wheeler,<1,hit and run,fault of pedestrian,10-14years,9-10std,give improper signal,50-70,muddy/oily/slippery,4 Lanes or more with central divider,unmanned rail crossing,stop sign,paid driver,male
Asalpha,near a religious place,6pm-9pm,light rain,3 wheeler,6-8year,rear end collision,weather condition,65 and above,9-10std,passed on hill,>70,Wet road,single lane,staggered jucntion,flashing signal/blinker,paid driver,male
Ghatkopar-Mankhurd Link road,near or inside a village,12am-3am,light rain,2 wheeler,<1,overturning,defect in condition of motor vehicle,25-34years,above 10th std,passed on hill,>70,straight road,two lane,round about junction,traffic light signal,learners licence,female
Kajupada,residential area,6pm-9pm,cloudy,3 wheeler,<1,right turn collision,defect in road condition,6-9years,not known,did not give right of way to pedestrian,50-70,Wet road,two lane,four arm junction,traffic light signal,owner of private vehicle,male
Ghatkopar-Mankhurd Link road,near or inside a village,6am-9am,fine,2 wheeler,>10,hit and run,fault of pedestrian,45-54years,above 10th std,cut in sharply after passing,<30,muddy/oily/slippery,4 Lanes or more with central divider,manned rail crossing,stop sign,others,female
Asalpha,near office complex,9am-12pm,light rain,3 wheeler,2-4year,skiding,defect in condition of motor vehicle,25-34years,not known,did not give right of way to vehicle,30-50,road under construction/repair,3 Lanes or more without central Divider Median,manned rail crossing,stop sign,owner of public commercial vehicle,female
Asalpha,near a factory or indu. Area,3pm-6pm,light rain,other motor vehicles,4-6year,overturning,fault of driver,45-54years,not known,failed to give signal,30-50,speed breaker,3 Lanes or more without central Divider Median,v junction,police controlled,paid driver,female
Barve Nagar,near a recreation place/cinema,12pm-3pm,fine,"car/jeep/taxi,buses(4 wheeler)",>10,hit and run,neglect of civic bodies,10-14years,upto 8th std,excceding lawful speed,<30,Wet road,3 Lanes or more without central Divider Median,round about junction,uncontolled,paid driver,female
Barve Nagar,open area,9am-12pm,cloudy,"car/jeep/taxi,buses(4 wheeler)",4-6year,head on collision,fault of pedestrian,6-9years,above 10th std,give improper signal,<30,Kutcha Roads,3 Lanes or more without central Divider Median,manned rail crossing,uncontolled,owner of private vehicle,female
Ghatkopar-Mankhurd Link road,near hospital,12am-3am,cloudy,"car/jeep/taxi,buses(4 wheeler)",8-10year,collision brush/side swip,fault of pedestrian,65 and above,not known,excceding lawful speed,30-50,Surfaced Roads,single lane,unmanned rail crossing,traffic light signal,without licence,male
Kajupada,near hospital,6am-9am,heavy rain,2 wheeler,1-2year,rear end collision,poor light,10-14years,upto 8th std,on wrong side of the road,>70,rutted/pot holes,two lane,manned rail crossing,uncontolled,owner of private vehicle,male
Kajupada,near or inside a village,12pm-3pm,cloudy,2 wheeler,4-6year,hit and run,poor light,6-9years,above 10th std,excceding lawful speed,50-70,rutted/pot holes,two lane,unmanned rail crossing,police controlled,regular licence,female
Barve Nagar,near office complex,12pm-3pm,fine,other motor vehicles,8-10year,head on collision,neglect of civic bodies,55-64years,upto 8th std,passed on hill,>70,Surfaced Roads,single lane,round about junction,flashing signal/blinker,learners licence,female
Kajupada,near a religious place,9am-12pm,cloudy,3 wheeler,6-8year,right turn collision,poor light,35-44years,9-10std,alcohol intake,50-70,incline road,4 Lanes or more with central divider,junction with >4 arms,uncontolled,owner of private vehicle,female
Asalpha,narrow bridge or culverts,9pm-12am,cloudy,2 wheeler,6-8year,skiding,defect in road condition,<5years,above 10th std,did not give right of way to pedestrian,>70,rutted/pot holes,single lane,four arm junction,traffic light signal,without licence,female
Asalpha,open area,6am-9am,cloudy,"car/jeep/taxi,buses(4 wheeler)",2-4year,collision brush/side swip,poor light,6-9years,not known,passed on curve,50-70,rutted/pot holes,4 Lanes or more with central divider,round about junction,uncontolled,regular licence,female
Ghatkopar-Mankhurd Link road,near a recreation place/cinema,12am-3am,cloudy,2 wheeler,8-10year,hit and run,poor light,35-44years,not known,cut in sharply after passing,>70,straight road,two lane,unmanned rail crossing,flashing signal/blinker,paid driver,male
Asalpha,near a recreation place/cinema,6am-9am,heavy rain,"car/jeep/taxi,buses(4 wheeler)",<1,hit and run,fault of driver,65 and above,above 10th std,failed to give signal,30-50,Kutcha Roads,single lane,unmanned rail crossing,traffic light signal,paid driver,male
Barve Nagar,at pedestrian crossing,12am-3am,cloudy,"car/jeep/taxi,buses(4 wheeler)",8-10year,collision brush/side swip,fault of pedestrian,21-24years,not known,did not give right of way to vehicle,50-70,rutted/pot holes,single lane,staggered jucntion,police controlled,owner of private vehicle,male
Barve Nagar,near office complex,3pm-6pm,cloudy,"trucks ,tempos,tracto",>10,hit and run,fault of driver,6-9years,9-10std,cut in sharply after passing,50-70,Kutcha Roads,4 Lanes or more with central divider,v junction,traffic light signal,others,female
Asalpha,in bazar,9pm-12am,heavy rain,"trucks ,tempos,tracto",4-6year,right turn collision,fault of pedestrian,45-54years,above 10th std,alcohol intake,50-70,Surfaced Roads,two lane,round about junction,uncontolled,others,female
Kajupada,open area,9pm-12am,heavy rain,"car/jeep/taxi,buses(4 wheeler)",4-6year,skiding,neglect of civic bodies,18-20years,upto 8th std,passed on hill,<30,Kutcha Roads,3 Lanes or more without central Divider Median,unmanned rail crossing,traffic light signal,others,male
Barve Nagar,near or inside a village,3am-6am,cloudy,2 wheeler,1-2year,right turn collision,defect in condition of motor vehicle,15-17years,9-10std,failed to give signal,30-50,incline road,3 Lanes or more without central Divider Median,four arm junction,uncontolled,paid driver,female
Ghatkopar-Mankhurd Link road,near a factory or indu. Area,3am-6am,heavy rain,"car/jeep/taxi,buses(4 wheeler)",<1,skiding,poor light,35-44years,upto 8th std,passed on curve,>70,incline road,single lane,round about junction,uncontolled,owner of public commercial vehicle,male
Kajupada,near school/college,9pm-12am,heavy rain,3 wheeler,>10,hit and run,neglect of civic bodies,unknown age,9-10std,followed too closely,>70,incline road,3 Lanes or more without central Divider Median,round about junction,stop sign,others,male
Barve Nagar,at pedestrian crossing,9am-12pm,fine,"trucks ,tempos,tracto",2-4year,rear end collision,weather condition,unknown age,above 10th std,did not give right of way to pedestrian,50-70,Wet road,single lane,manned rail crossing,uncontolled,regular licence,female
Barve Nagar,at pedestrian crossing,9am-12pm,fine,other motor vehicles,>10,right turn collision,fault of pedestrian,21-24years,not known,on wrong side of the road,30-50,road under construction/repair,single lane,unmanned rail crossing,traffic light signal,without licence,male
Asalpha,in bazar,9pm-12am,fine,"car/jeep/taxi,buses(4 wheeler)",2-4year,rear end collision,poor light,15-17years,9-10std,other improper passsing,<30,muddy/oily/slippery,single lane,v junction,police controlled,learners licence,male
Kajupada,near a recreation place/cinema,12am-3am,cloudy,3 wheeler,<1,rear end collision,neglect of civic bodies,65 and above,not known,did not give right of way to vehicle,>70,road under construction/repair,4 Lanes or more with central divider,four arm junction,uncontolled,owner of public commercial vehicle,female
Barve Nagar,narrow bridge or culverts,12pm-3pm,light rain,other motor vehicles,6-8year,hit and run,neglect of civic bodies,6-9years,upto 8th std,excceding lawful speed,<30,rutted/pot holes,single lane,junction with >4 arms,uncontolled,paid driver,female
Ghatkopar-Mankhurd Link road,near school/college,3am-6am,cloudy,3 wheeler,>10,collision brush/side swip,poor light,15-17years,not known,other improper passsing,>70,straight road,3 Lanes or more without central Divider Median,unmanned rail crossing,traffic light signal,others,male
Asalpha,near office complex,3pm-6pm,cloudy,3 wheeler,2-4year,hit and run,defect in condition of motor vehicle,35-44years,above 10th std,alcohol intake,>70,speed breaker,3 Lanes or more without central Divider Median,staggered jucntion,flashing signal/blinker,owner of private vehicle,female
Ghatkopar-Mankhurd Link road,near or inside a village,6am-9am,cloudy,"car/jeep/taxi,buses(4 wheeler)",6-8year,right turn collision,defect in condition of motor vehicle,21-24years,9-10std,cut in sharply after passing,>70,straight road,4 Lanes or more with central divider,junction with >4 arms,police controlled,owner of public commercial vehicle,female
Barve Nagar,near a recreation place/cinema,3am-6am,cloudy,"car/jeep/taxi,buses(4 wheeler)",<1,right turn collision,weather condition,<5years,9-10std,passed on hill,>70,speed breaker,4 Lanes or more with central divider,v junction,police controlled,paid driver,female
Ghatkopar-Mankhurd Link road,near bus stop,9pm-12am,cloudy,3 wheeler,2-4year,skiding,weather condition,6-9years,above 10th std,excceding lawful speed,50-70,Kutcha Roads,4 Lanes or more with central divider,manned rail crossing,traffic light signal,others,female
Ghatkopar-Mankhurd Link road,near school/college,12am-3am,light rain,2 wheeler,2-4year,head on collision,poor light,10-14years,9-10std,followed too closely,<30,muddy/oily/slippery,3 Lanes or more without central Divider Median,staggered jucntion,flashing signal/blinker,learners licence,male
Kajupada,open area,3am-6am,light rain,"trucks ,tempos,tracto",>10,right turn collision,defect in road condition,18-20years,upto 8th std,on wrong side of the road,>70,Kutcha Roads,single lane,manned rail crossing,stop sign,without licence,male
Kajupada,near petrol pump,6pm-9pm,light rain,other motor vehicles,6-8year,overturning,weather condition,15-17years,above 10th std,followed too closely,30-50,road under construction/repair,single lane,unmanned rail crossing,police controlled,owner of public commercial vehicle,male
Chirag Nagar,near a factory or indu. Area,9pm-12am,fine,"trucks ,tempos,tracto",4-6year,skiding,neglect of civic bodies,35-44years,above 10th std,give improper signal,50-70,speed breaker,two lane,junction with >4 arms,traffic light signal,regular licence,male
Ghatkopar Bus Depot,near or inside a village,6pm-9pm,cloudy,"car/jeep/taxi,buses(4 wheeler)",6-8year,head on collision,defect in road condition,45-54years,9-10std,give improper signal,30-50,Wet road,3 Lanes or more without central Divider Median,junction with >4 arms,police controlled,owner of public commercial vehicle,male
Chirag Nagar,near a factory or indu. Area,12am-3am,cloudy,3 wheeler,1-2year,right turn collision,defect in road condition,25-34years,not known,alcohol intake,30-50,incline road,3 Lanes or more without central Divider Median,round about junction,police controlled,without licence,female
Sindhu Wadi,near office complex,6am-9am,light rain,other motor vehicles,4-6year,overturning,fault of pedestrian,25-34years,9-10std,followed too closely,>70,speed breaker,4 Lanes or more with central divider,t junction,traffic light signal,learners licence,male
Ghatkopar Bus Depot,open area,6am-9am,cloudy,3 wheeler,8-10year,rear end collision,defect in condition of motor vehicle,45-54years,upto 8th std,failed to give signal,>70,road under construction/repair,two lane,manned rail crossing,stop sign,others,male
Chirag Nagar,in bazar,3pm-6pm,heavy rain,"trucks ,tempos,tracto",1-2year,head on collision,neglect of civic bodies,6-9years,above 10th std,failed to give signal,>70,Wet road,two lane,manned rail crossing,stop sign,without licence,female
Sindhu Wadi,near hospital,9pm-12am,heavy rain,other motor vehicles,4-6year,skiding,weather condition,18-20years,not known,cut in sharply after passing,50-70,Surfaced Roads,3 Lanes or more without central Divider Median,unmanned rail crossing,uncontolled,learners licence,female
Sindhu Wadi,at pedestrian crossing,3am-6am,light rain,other motor vehicles,6-8year,overturning,fault of driver,10-14years,above 10th std,did not give right of way to pedestrian,30-50,incline road,single lane,round about junction,flashing signal/blinker,others,female
Chirag Nagar,residential area,6pm-9pm,fine,3 wheeler,>10,head on collision,weather condition,10-14years,upto 8th std,cut in sharply after passing,>70,incline road,4 Lanes or more with central divider,t junction,stop sign,learners licence,female
Chirag Nagar,near bus stop,9pm-12am,heavy rain,"trucks ,tempos,tracto",<1,overturning,weather condition,65 and above,upto 8th std,give improper signal,30-50,Kutcha Roads,two lane,four arm junction,police controlled,others,female
Jagdusha Nagar,near bus stop,3am-6am,heavy rain,other motor vehicles,<1,right turn collision,fault of pedestrian,35-44years,9-10std,alcohol intake,30-50,Wet road,4 Lanes or more with central divider,staggered jucntion,stop sign,owner of public commercial vehicle,male
Sindhu Wadi,residential area,12pm-3pm,heavy rain,3 wheeler,6-8year,collision brush/side swip,neglect of civic bodies,6-9years,9-10std,did not give right of way to vehicle,<30,speed breaker,3 Lanes or more without central Divider Median,manned rail crossing,flashing signal/blinker,without licence,female
Sindhu Wadi,near bus stop,12am-3am,light rain,"trucks ,tempos,tracto",4-6year,head on collision,defect in road condition,unknown age,9-10std,followed too closely,30-50,straight road,3 Lanes or more without central Divider Median,manned rail crossing,uncontolled,owner of private vehicle,male
Sindhu Wadi,near hospital,3am-6am,fine,"car/jeep/taxi,buses(4 wheeler)",4-6year,head on collision,poor light,45-54years,not known,did not give right of way to pedestrian,30-50,incline road,4 Lanes or more with central divider,four arm junction,traffic light signal,owner of private vehicle,female
Jagdusha Nagar,near a factory or indu. Area,12am-3am,heavy rain,other motor vehicles,8-10year,overturning,fault of pedestrian,55-64years,above 10th std,did not give right of way to vehicle,>70,Kutcha Roads,4 Lanes or more with central divider,manned rail crossing,police controlled,regular licence,female
Sindhu Wadi,at pedestrian crossing,6pm-9pm,fine,3 wheeler,8-10year,overturning,poor light,25-34years,above 10th std,did not give right of way to pedestrian,>70,rutted/pot holes,3 Lanes or more without central Divider Median,unmanned rail crossing,police controlled,owner of private vehicle,male
Chirag Nagar,at pedestrian crossing,9pm-12am,cloudy,"car/jeep/taxi,buses(4 wheeler)",1-2year,head on collision,defect in road condition,25-34years,upto 8th std,failed to give signal,30-50,Wet road,4 Lanes or more with central divider,staggered jucntion,police controlled,owner of public commercial vehicle,male
Sindhu Wadi,near bus stop,6pm-9pm,cloudy,2 wheeler,2-4year,collision brush/side swip,defect in condition of motor vehicle,55-64years,not known,give improper signal,<30,rutted/pot holes,4 Lanes or more with central divider,v junction,stop sign,regular licence,male
Ghatkopar Bus Depot,in bazar,6am-9am,cloudy,other motor vehicles,2-4year,hit and run,fault of pedestrian,15-17years,not known,followed too closely,30-50,rutted/pot holes,two lane,v junction,stop sign,others,female
Chirag Nagar,narrow bridge or culverts,9pm-12am,fine,other motor vehicles,>10,skiding,defect in condition of motor vehicle,6-9years,above 10th std,passed on curve,50-70,straight road,4 Lanes or more with central divider,v junction,uncontolled,regular licence,male
Jagdusha Nagar,near school/college,6am-9am,light rain,2 wheeler,1-2year,head on collision,fault of driver,45-54years,9-10std,followed too closely,>70,speed breaker,single lane,round about junction,police controlled,others,male
Ghatkopar Bus Depot,near a recreation place/cinema,9pm-12am,fine,"car/jeep/taxi,buses(4 wheeler)",4-6year,collision brush/side swip,neglect of civic bodies,10-14years,above 10th std,excceding lawful speed,30-50,Surfaced Roads,4 Lanes or more with central divider,junction with >4 arms,uncontolled,paid driver,male
Chirag Nagar,near a religious place,3am-6am,light rain,"car/jeep/taxi,buses(4 wheeler)",8-10year,hit and run,defect in road condition,18-20years,not known,did not give right of way to vehicle,<30,incline road,single lane,t junction,uncontolled,learners licence,female
Ghatkopar Bus Depot,near a factory or indu. Area,9pm-12am,heavy rain,"car/jeep/taxi,buses(4 wheeler)",4-6year,rear end collision,defect in condition of motor vehicle,10-14years,above 10th std,alcohol intake,30-50,rutted/pot holes,single lane,staggered jucntion,stop sign,without licence,male
Jagdusha Nagar,near a recreation place/cinema,3am-6am,light rain,other motor vehicles,4-6year,hit and run,fault of pedestrian,unknown age,above 10th std,excceding lawful speed,>70,Wet road,two lane,unmanned rail crossing,stop sign,owner of private vehicle,male
Chirag Nagar,near bus stop,12pm-3pm,fine,"trucks ,tempos,tracto",4-6year,hit and run,defect in road condition,15-17years,upto 8th std,give improper signal,<30,Wet road,two lane,t junction,police controlled,without licence,female
Sindhu Wadi,near a religious place,12pm-3pm,light rain,other motor vehicles,6-8year,hit and run,defect in road condition,<5years,9-10std,failed to give signal,30-50,speed breaker,single lane,junction with >4 arms,uncontolled,paid driver,female
Chirag Nagar,near a religious place,6pm-9pm,heavy rain,"car/jeep/taxi,buses(4 wheeler)",6-8year,head on collision,neglect of civic bodies,15-17years,9-10std,on wrong side of the road,>70,rutted/pot holes,two lane,junction with >4 arms,stop sign,without licence,male
Jagdusha Nagar,residential area,12pm-3pm,fine,2 wheeler,6-8year,hit and run,neglect of civic bodies,21-24years,above 10th std,passed on hill,30-50,incline road,4 Lanes or more with central divider,staggered jucntion,uncontolled,without licence,male
Jagdusha Nagar,near office complex,12am-3am,cloudy,3 wheeler,2-4year,rear end collision,defect in condition of motor vehicle,6-9years,not known,did not give right of way to pedestrian,50-70,rutted/pot holes,single lane,junction with >4 arms,uncontolled,owner of private vehicle,female
Jagdusha Nagar,near bus stop,12pm-3pm,fine,other motor vehicles,2-4year,head on collision,poor light,55-64years,upto 8th std,other improper passsing,>70,Wet road,two lane,manned rail crossing,police controlled,paid driver,male
Ghatkopar Bus Depot,near a religious place,12pm-3pm,fine,"trucks ,tempos,tracto",6-8year,overturning,fault of pedestrian,unknown age,above 10th std,alcohol intake,30-50,muddy/oily/slippery,two lane,staggered jucntion,uncontolled,learners licence,male
Chirag Nagar,residential area,12am-3am,fine,3 wheeler,<1,skiding,poor light,65 and above,not known,give improper signal,<30,speed breaker,4 Lanes or more with central divider,v junction,stop sign,regular licence,female
Chirag Nagar,open area,9am-12pm,heavy rain,"car/jeep/taxi,buses(4 wheeler)",4-6year,collision brush/side swip,poor light,21-24years,above 10th std,excceding lawful speed,>70,muddy/oily/slippery,3 Lanes or more without central Divider Median,four arm junction,traffic light signal,others,male
Jagdusha Nagar,near a factory or indu. Area,12am-3am,fine,2 wheeler,8-10year,hit and run,fault of driver,6-9years,not known,other improper passsing,50-70,road under construction/repair,two lane,manned rail crossing,police controlled,owner of public commercial vehicle,male
