area,Typeoflocation,time,Weather,typeofvehicle,ageofvehicle,natureofaccidents,causeofaccidents,accidentvictimsage,eduofdriver,accordingtoResponsibilitiesofDriver,speed,roadconditions,roadfeature,typeofjunction,typeoftrafficcontrol,OwnerofTypeofVehiclesandTypeofLicence,Gender
Wadgaon Bridge,narrow bridge or culverts,12pm-3pm,fine,"car/jeep/taxi,buses(4 wheeler)",8-10year,hit and run,fault of driver,45-54years,9-10std,cut in sharply after passing,30-50,Kutcha Roads,3 Lanes or more without central Divider Median,v junction,uncontolled,learners licence,female
Pimple Saudagar,near a recreation place/cinema,12am-3am,fine,2 wheeler,<1,overturning,defect in road condition,unknown age,9-10std,alcohol intake,50-70,Kutcha Roads,single lane,four arm junction,traffic light signal,others,male
Visharant Wadi,in bazar,6pm-9pm,heavy rain,3 wheeler,2-4year,skiding,defect in condition of motor vehicle,21-24years,upto 8th std,give improper signal,50-70,speed breaker,4 Lanes or more with central divider,junction with >4 arms,stop sign,learners licence,female
Visharant Wadi,at pedestrian crossing,6pm-9pm,cloudy,3 wheeler,4-6year,skiding,neglect of civic bodies,unknown age,9-10std,give improper signal,<30,muddy/oily/slippery,3 Lanes or more without central Divider Median,junction with >4 arms,uncontolled,learners licence,female
Visharant Wadi,near office complex,6pm-9pm,cloudy,other motor vehicles,4-6year,collision brush/side swip,weather condition,unknown age,upto 8th std,passed on hill,>70,straight road,4 Lanes or more with central divider,t junction,uncontolled,learners licence,female
Sangamvadi,open area,3pm-6pm,cloudy,3 wheeler,1-2year,head on collision,neglect of civic bodies,45-54years,9-10std,passed on curve,<30,road under construction/repair,single lane,junction with >4 arms,uncontolled,owner of public commercial vehicle,female
Sangamvadi,near a factory or indu. Area,3pm-6pm,light rain,"trucks ,tempos,tracto",8-10year,collision brush/side swip,fault of pedestrian,unknown age,not known,followed too closely,>70,incline road,two lane,manned rail crossing,uncontolled,paid driver,female
Sangamvadi,near petrol pump,3pm-6pm,heavy rain,"car/jeep/taxi,buses(4 wheeler)",>10,overturning,fault of pedestrian,35-44years,not known,give improper signal,30-50,speed breaker,3 Lanes or more without central Divider Median,round about junction,uncontolled,without licence,female
Pimple Saudagar,near petrol pump,9am-12pm,light rain,2 wheeler,<1,right turn collision,weather condition,18-20years,9-10std,did not give right of way to vehicle,50-70,road under construction/repair,single lane,staggered jucntion,stop sign,paid driver,male
Wadgaon Bridge,at pedestrian crossing,9pm-12am,cloudy,other motor vehicles,8-10year,hit and run,weather condition,6-9years,not known,passed on hill,50-70,road under construction/repair,single lane,t junction,police controlled,without licence,male
Sangamvadi,near or inside a village,9pm-12am,light rain,2 wheeler,<1,skiding,fault of driver,45-54years,9-10std,followed too closely,50-70,road under construction/repair,single lane,manned rail crossing,flashing signal/blinker,without licence,male
Visharant Wadi,near or inside a village,6pm-9pm,cloudy,"trucks ,tempos,tracto",8-10year,collision brush/side swip,poor light,unknown age,above 10th std,cut in sharply after passing,30-50,speed breaker,two lane,manned rail crossing,traffic light signal,owner of public commercial vehicle,female
Wadgaon Bridge,residential area,9am-12pm,fine,other motor vehicles,<1,hit and run,weather condition,10-14years,above 10th std,failed to give signal,<30,Kutcha Roads,single lane,staggered jucntion,flashing signal/blinker,others,male
Sangamvadi,near or inside a village,3pm-6pm,light rain,"trucks ,tempos,tracto",6-8year,right turn collision,defect in road condition,65 and above,not known,excceding lawful speed,30-50,Wet road,single lane,junction with >4 arms,police controlled,learners licence,female
Wadgaon Bridge,near office complex,9pm-12am,cloudy,3 wheeler,8-10year,right turn collision,defect in road condition,18-20years,9-10std,passed on curve,50-70,incline road,single lane,junction with >4 arms,stop sign,others,male
Visharant Wadi,open area,3am-6am,fine,other motor vehicles,<1,head on collision,poor light,10-14years,9-10std,alcohol intake,<30,rutted/pot holes,4 Lanes or more with central divider,junction with >4 arms,flashing signal/blinker,without licence,female
Wadgaon Bridge,near or inside a village,9pm-12am,light rain,2 wheeler,<1,head on collision,defect in condition of motor vehicle,35-44years,9-10std,followed too closely,50-70,incline road,3 Lanes or more without central Divider Median,staggered jucntion,stop sign,others,male
Wadgaon Bridge,at pedestrian crossing,3am-6am,cloudy,3 wheeler,<1,overturning,weather condition,unknown age,9-10std,failed to give signal,<30,muddy/oily/slippery,two lane,round about junction,uncontolled,regular licence,male
Wadgaon Bridge,at pedestrian crossing,3am-6am,light rain,"trucks ,tempos,tracto",2-4year,overturning,fault of driver,15-17years,9-10std,failed to give signal,>70,Surfaced Roads,single lane,staggered jucntion,flashing signal/blinker,owner of private vehicle,female
Wadgaon Bridge,near a factory or indu. Area,12pm-3pm,cloudy,"car/jeep/taxi,buses(4 wheeler)",1-2year,skiding,poor light,35-44years,upto 8th std,passed on hill,>70,incline road,single lane,t junction,stop sign,owner of private vehicle,male
Wadgaon Bridge,near a recreation place/cinema,6pm-9pm,fine,"trucks ,tempos,tracto",6-8year,head on collision,defect in condition of motor vehicle,18-20years,above 10th std,other improper passsing,30-50,rutted/pot holes,single lane,t junction,traffic light signal,without licence,female
Wadgaon Bridge,open area,3pm-6pm,cloudy,other motor vehicles,<1,collision brush/side swip,fault of driver,6-9years,above 10th std,other improper passsing,50-70,speed breaker,4 Lanes or more with central divider,unmanned rail crossing,flashing signal/blinker,regular licence,male
Wadgaon Bridge,near school/college,3am-6am,cloudy,other motor vehicles,1-2year,hit and run,fault of driver,25-34years,above 10th std,excceding lawful speed,50-70,rutted/pot holes,two lane,unmanned rail crossing,flashing signal/blinker,owner of private vehicle,male
Pimple Saudagar,in bazar,6am-9am,light rain,"car/jeep/taxi,buses(4 wheeler)",<1,hit and run,weather condition,10-14years,upto 8th std,did not give right of way to vehicle,50-70,speed breaker,two lane,round about junction,police controlled,others,male
Visharant Wadi,near office complex,6pm-9pm,heavy rain,2 wheeler,6-8year,head on collision,defect in road condition,21-24years,upto 8th std,excceding lawful speed,>70,road under construction/repair,two lane,four arm junction,uncontolled,owner of public commercial vehicle,male
Wadgaon Bridge,near petrol pump,9pm-12am,heavy rain,"car/jeep/taxi,buses(4 wheeler)",4-6year,overturning,fault of pedestrian,65 and above,upto 8th std,did not give right of way to pedestrian,30-50,muddy/oily/slippery,two lane,staggered jucntion,stop sign,without licence,female
Sangamvadi,near office complex,12pm-3pm,heavy rain,"trucks ,tempos,tracto",<1,head on collision,fault of driver,65 and above,above 10th std,cut in sharply after passing,<30,Wet road,single lane,manned rail crossing,uncontolled,regular licence,male
Visharant Wadi,in bazar,6am-9am,light rain,2 wheeler,4-6year,head on collision,neglect of civic bodies,<5years,9-10std,passed on hill,50-70,Surfaced Roads,3 Lanes or more without central Divider Median,unmanned rail crossing,police controlled,learners licence,female
Visharant Wadi,near petrol pump,6am-9am,heavy rain,other motor vehicles,1-2year,head on collision,defect in road condition,25-34years,above 10th std,failed to give signal,<30,Surfaced Roads,3 Lanes or more without central Divider Median,round about junction,flashing signal/blinker,paid driver,female
Navale bridge,near a factory or indu. Area,9am-12pm,light rain,other motor vehicles,<1,right turn collision,neglect of civic bodies,6-9years,9-10std,did not give right of way to vehicle,>70,Surfaced Roads,two lane,manned rail crossing,stop sign,others,male
Navale bridge,near a recreation place/cinema,3am-6am,fine,"car/jeep/taxi,buses(4 wheeler)",1-2year,overturning,poor light,10-14years,9-10std,give improper signal,<30,rutted/pot holes,3 Lanes or more without central Divider Median,round about junction,traffic light signal,regular licence,female
Bhumkar Chowk,near a recreation place/cinema,6am-9am,cloudy,2 wheeler,4-6year,head on collision,defect in condition of motor vehicle,55-64years,9-10std,on wrong side of the road,30-50,muddy/oily/slippery,single lane,v junction,uncontolled,without licence,female
Chandani Chowk-Bavdhan,near hospital,9pm-12am,fine,"car/jeep/taxi,buses(4 wheeler)",6-8year,overturning,weather condition,21-24years,9-10std,on wrong side of the road,<30,incline road,single lane,junction with >4 arms,traffic light signal,without licence,female
Visharant Wadi,near bus stop,9am-12pm,fine,3 wheeler,4-6year,head on collision,defect in road condition,6-9years,above 10th std,on wrong side of the road,50-70,muddy/oily/slippery,single lane,four arm junction,police controlled,paid driver,male
Sangamvadi,near bus stop,3pm-6pm,fine,other motor vehicles,>10,rear end collision,defect in road condition,10-14years,above 10th std,did not give right of way to vehicle,50-70,Surfaced Roads,4 Lanes or more with central divider,v junction,uncontolled,owner of private vehicle,male
Navale bridge,at pedestrian crossing,3pm-6pm,heavy rain,3 wheeler,4-6year,right turn collision,poor light,unknown age,not known,did not give right of way to vehicle,50-70,Wet road,4 Lanes or more with central divider,staggered jucntion,police controlled,without licence,female
Sangamvadi,near hospital,6am-9am,light rain,"trucks ,tempos,tracto",6-8year,skiding,weather condition,15-17years,not known,failed to give signal,50-70,Wet road,4 Lanes or more with central divider,v junction,police controlled,paid driver,male
Magarpatta City-Hadapsar,open area,12pm-3pm,light rain,"trucks ,tempos,tracto",<1,head on collision,defect in road condition,6-9years,upto 8th std,excceding lawful speed,50-70,Wet road,single lane,staggered jucntion,traffic light signal,without licence,male
Magarpatta City-Hadapsar,near petrol pump,6am-9am,heavy rain,"car/jeep/taxi,buses(4 wheeler)",1-2year,rear end collision,neglect of civic bodies,21-24years,upto 8th std,cut in sharply after passing,<30,Surfaced Roads,3 Lanes or more without central Divider Median,t junction,uncontolled,learners licence,male
Chandani Chowk-Bavdhan,open area,12pm-3pm,fine,3 wheeler,6-8year,overturning,defect in condition of motor vehicle,55-64years,above 10th std,failed to give signal,>70,rutted/pot holes,3 Lanes or more without central Divider Median,manned rail crossing,flashing signal/blinker,owner of public commercial vehicle,female
Sangamvadi,near a factory or indu. Area,9am-12pm,cloudy,"car/jeep/taxi,buses(4 wheeler)",2-4year,skiding,weather condition,18-20years,above 10th std,on wrong side of the road,30-50,incline road,3 Lanes or more without central Divider Median,v junction,police controlled,paid driver,male
Sangamvadi,residential area,3am-6am,cloudy,"trucks ,tempos,tracto",<1,collision brush/side swip,poor light,unknown age,above 10th std,followed too closely,50-70,incline road,two lane,unmanned rail crossing,flashing signal/blinker,learners licence,male
Chandani Chowk-Bavdhan,near bus stop,12pm-3pm,light rain,"trucks ,tempos,tracto",>10,hit and run,neglect of civic bodies,18-20years,9-10std,passed on curve,50-70,muddy/oily/slippery,single lane,t junction,flashing signal/blinker,others,female
Magarpatta City-Hadapsar,near a recreation place/cinema,6am-9am,heavy rain,3 wheeler,2-4year,rear end collision,fault of driver,unknown age,not known,excceding lawful speed,>70,straight road,single lane,round about junction,flashing signal/blinker,others,male
Navale bridge,near school/college,12pm-3pm,light rain,"trucks ,tempos,tracto",4-6year,collision brush/side swip,defect in condition of motor vehicle,15-17years,9-10std,passed on curve,>70,Wet road,4 Lanes or more with central divider,round about junction,traffic light signal,paid driver,female
Bhumkar Chowk,in bazar,9am-12pm,heavy rain,2 wheeler,1-2year,overturning,weather condition,<5years,upto 8th std,did not give right of way to pedestrian,50-70,muddy/oily/slippery,two lane,round about junction,stop sign,without licence,female
Sangamvadi,near hospital,6pm-9pm,fine,3 wheeler,6-8year,right turn collision,poor light,unknown age,not known,on wrong side of the road,>70,Surfaced Roads,4 Lanes or more with central divider,v junction,flashing signal/blinker,owner of private vehicle,female
Bhumkar Chowk,in bazar,6pm-9pm,cloudy,3 wheeler,8-10year,collision brush/side swip,weather condition,45-54years,9-10std,passed on hill,50-70,Kutcha Roads,4 Lanes or more with central divider,staggered jucntion,police controlled,paid driver,male
Sangamvadi,near hospital,3pm-6pm,fine,other motor vehicles,>10,skiding,fault of pedestrian,10-14years,upto 8th std,passed on hill,30-50,road under construction/repair,two lane,t junction,flashing signal/blinker,others,female
Khadi Machiine Chowk,near or inside a village,3am-6am,light rain,"trucks ,tempos,tracto",6-8year,collision brush/side swip,poor light,21-24years,upto 8th std,followed too closely,30-50,straight road,3 Lanes or more without central Divider Median,unmanned rail crossing,uncontolled,owner of private vehicle,male
Magarpatta City-Hadapsar,near a factory or indu. Area,3am-6am,cloudy,"trucks ,tempos,tracto",8-10year,hit and run,fault of pedestrian,<5years,9-10std,excceding lawful speed,<30,rutted/pot holes,single lane,round about junction,uncontolled,regular licence,male
Visharant Wadi,near petrol pump,3pm-6pm,fine,2 wheeler,6-8year,collision brush/side swip,defect in condition of motor vehicle,35-44years,above 10th std,other improper passsing,50-70,muddy/oily/slippery,4 Lanes or more with central divider,manned rail crossing,stop sign,learners licence,female
Bhumkar Chowk,near office complex,12pm-3pm,light rain,2 wheeler,1-2year,overturning,poor light,<5years,9-10std,other improper passsing,30-50,Surfaced Roads,3 Lanes or more without central Divider Median,t junction,police controlled,owner of private vehicle,male
Navale bridge,open area,9pm-12am,light rain,2 wheeler,6-8year,hit and run,neglect of civic bodies,55-64years,not known,did not give right of way to vehicle,50-70,Kutcha Roads,3 Lanes or more without central Divider Median,staggered jucntion,flashing signal/blinker,owner of public commercial vehicle,male
Chandani Chowk-Bavdhan,narrow bridge or culverts,9pm-12am,fine,2 wheeler,6-8year,right turn collision,defect in condition of motor vehicle,25-34years,upto 8th std,other improper passsing,<30,Surfaced Roads,two lane,manned rail crossing,stop sign,regular licence,male
Magarpatta City-Hadapsar,narrow bridge or culverts,12am-3am,fine,"car/jeep/taxi,buses(4 wheeler)",8-10year,skiding,fault of pedestrian,unknown age,9-10std,on wrong side of the road,30-50,speed breaker,4 Lanes or more with central divider,manned rail crossing,flashing signal/blinker,without licence,male
Navale bridge,near office complex,9pm-12am,light rain,"trucks ,tempos,tracto",<1,overturning,poor light,55-64years,upto 8th std,failed to give signal,<30,road under construction/repair,two lane,unmanned rail crossing,police controlled,learners licence,female
Khadi Machiine Chowk,near a recreation place/cinema,3pm-6pm,heavy rain,"trucks ,tempos,tracto",4-6year,right turn collision,weather condition,15-17years,not known,did not give right of way to pedestrian,50-70,Kutcha Roads,two lane,round about junction,traffic light signal,owner of public commercial vehicle,female
Chandani Chowk-Bavdhan,near office complex,3am-6am,cloudy,"trucks ,tempos,tracto",8-10year,rear end collision,weather condition,<5years,not known,other improper passsing,30-50,muddy/oily/slippery,4 Lanes or more with central divider,round about junction,flashing signal/blinker,learners licence,male
Sangamvadi,in bazar,6pm-9pm,light rain,other motor vehicles,4-6year,overturning,neglect of civic bodies,65 and above,upto 8th std,passed on curve,<30,Surfaced Roads,3 Lanes or more without central Divider Median,manned rail crossing,stop sign,others,female
Khadi Machiine Chowk,near bus stop,6am-9am,cloudy,"car/jeep/taxi,buses(4 wheeler)",1-2year,hit and run,weather condition,65 and above,upto 8th std,cut in sharply after passing,50-70,muddy/oily/slippery,single lane,manned rail crossing,traffic light signal,owner of private vehicle,male
Khadi Machiine Chowk,near or inside a village,3am-6am,cloudy,"trucks ,tempos,tracto",2-4year,hit and run,fault of driver,6-9years,upto 8th std,did not give right of way to vehicle,30-50,Wet road,single lane,t junction,traffic light signal,owner of private vehicle,male
Magarpatta City-Hadapsar,near petrol pump,3am-6am,cloudy,other motor vehicles,1-2year,right turn collision,poor light,21-24years,not known,passed on hill,30-50,Surfaced Roads,two lane,t junction,uncontolled,owner of public commercial vehicle,male
Visharant Wadi,in bazar,12am-3am,fine,2 wheeler,8-10year,head on collision,fault of driver,55-64years,not known,excceding lawful speed,<30,incline road,single lane,junction with >4 arms,stop sign,owner of public commercial vehicle,female
Navale bridge,near hospital,6pm-9pm,cloudy,"car/jeep/taxi,buses(4 wheeler)",4-6year,skiding,poor light,35-44years,above 10th std,alcohol intake,>70,muddy/oily/slippery,single lane,four arm junction,stop sign,owner of private vehicle,male
Khadi Machiine Chowk,near a religious place,3am-6am,light rain,3 wheeler,<1,hit and run,poor light,55-64years,not known,followed too closely,<30,rutted/pot holes,4 Lanes or more with central divider,four arm junction,flashing signal/blinker,owner of public commercial vehicle,male
Magarpatta City-Hadapsar,narrow bridge or culverts,12pm-3pm,light rain,2 wheeler,4-6year,hit and run,defect in condition of motor vehicle,unknown age,above 10th std,did not give right of way to pedestrian,<30,straight road,4 Lanes or more with central divider,four arm junction,traffic light signal,owner of public commercial vehicle,male
Visharant Wadi,open area,6am-9am,light rain,3 wheeler,4-6year,hit and run,neglect of civic bodies,15-17years,above 10th std,cut in sharply after passing,50-70,straight road,two lane,junction with >4 arms,flashing signal/blinker,learners licence,male
Khadi Machiine Chowk,near petrol pump,9am-12pm,cloudy,"trucks ,tempos,tracto",1-2year,rear end collision,fault of driver,25-34years,above 10th std,on wrong side of the road,<30,Wet road,3 Lanes or more without central Divider Median,unmanned rail crossing,traffic light signal,owner of public commercial vehicle,female
Pimple Saudagar,near a factory or indu. Area,12am-3am,light rain,"trucks ,tempos,tracto",4-6year,rear end collision,defect in condition of motor vehicle,35-44years,9-10std,followed too closely,>70,road under construction/repair,3 Lanes or more without central Divider Median,junction with >4 arms,police controlled,regular licence,male
Chandani Chowk-Bavdhan,near or inside a village,12am-3am,fine,"car/jeep/taxi,buses(4 wheeler)",>10,skiding,weather condition,65 and above,not known,excceding lawful speed,>70,straight road,4 Lanes or more with central divider,four arm junction,traffic light signal,owner of public commercial vehicle,female
Visharant Wadi,residential area,6am-9am,fine,2 wheeler,1-2year,right turn collision,fault of pedestrian,<5years,not known,did not give right of way to pedestrian,30-50,Kutcha Roads,4 Lanes or more with central divider,manned rail crossing,police controlled,others,female
Bhumkar Chowk,residential area,3am-6am,fine,2 wheeler,2-4year,right turn collision,neglect of civic bodies,15-17years,upto 8th std,excceding lawful speed,30-50,rutted/pot holes,two lane,junction with >4 arms,uncontolled,without licence,male
Bhumkar Chowk,at pedestrian crossing,3am-6am,light rain,other motor vehicles,4-6year,right turn collision,poor light,10-14years,not known,give improper signal,50-70,muddy/oily/slippery,4 Lanes or more with central divider,junction with >4 arms,stop sign,others,male
Chandani Chowk-Bavdhan,at pedestrian crossing,9am-12pm,fine,"car/jeep/taxi,buses(4 wheeler)",<1,rear end collision,poor light,55-64years,above 10th std,cut in sharply after passing,>70,road under construction/repair,single lane,round about junction,police controlled,others,male
Sangamvadi,near a recreation place/cinema,9am-12pm,heavy rain,2 wheeler,1-2year,skiding,neglect of civic bodies,15-17years,above 10th std,give improper signal,30-50,speed breaker,4 Lanes or more with central divider,t junction,police controlled,others,male
Navale bridge,near or inside a village,9pm-12am,cloudy,"car/jeep/taxi,buses(4 wheeler)",<1,rear end collision,fault of driver,25-34years,upto 8th std,other improper passsing,30-50,rutted/pot holes,single lane,t junction,flashing signal/blinker,learners licence,male
Khadi Machiine Chowk,open area,12pm-3pm,heavy rain,"car/jeep/taxi,buses(4 wheeler)",2-4year,right turn collision,poor light,21-24years,upto 8th std,excceding lawful speed,<30,Wet road,single lane,v junction,uncontolled,paid driver,female
Sangamvadi,near petrol pump,6pm-9pm,light rain,2 wheeler,<1,skiding,defect in condition of motor vehicle,25-34years,upto 8th std,other improper passsing,30-50,Surfaced Roads,two lane,manned rail crossing,traffic light signal,owner of private vehicle,male
Sangamvadi,residential area,12am-3am,fine,2 wheeler,6-8year,hit and run,poor light,unknown age,not known,on wrong side of the road,30-50,Surfaced Roads,two lane,round about junction,flashing signal/blinker,others,female
Sangamvadi,at pedestrian crossing,6pm-9pm,heavy rain,3 wheeler,<1,collision brush/side swip,weather condition,unknown age,9-10std,on wrong side of the road,<30,Surfaced Roads,3 Lanes or more without central Divider Median,t junction,flashing signal/blinker,owner of private vehicle,female
Magarpatta City-Hadapsar,near school/college,12pm-3pm,light rain,3 wheeler,6-8year,head on collision,poor light,unknown age,upto 8th std,did not give right of way to vehicle,50-70,incline road,4 Lanes or more with central divider,t junction,stop sign,learners licence,female
Chandani Chowk-Bavdhan,near a religious place,6am-9am,fine,"trucks ,tempos,tracto",>10,right turn collision,weather condition,21-24years,not known,other improper passsing,<30,muddy/oily/slippery,single lane,v junction,stop sign,owner of private vehicle,male
Navale bridge,at pedestrian crossing,9pm-12am,fine,3 wheeler,>10,hit and run,fault of driver,55-64years,above 10th std,followed too closely,50-70,road under construction/repair,4 Lanes or more with central divider,round about junction,traffic light signal,without licence,female
Visharant Wadi,near office complex,3pm-6pm,light rain,"car/jeep/taxi,buses(4 wheeler)",8-10year,hit and run,fault of pedestrian,15-17years,not known,passed on hill,>70,Kutcha Roads,4 Lanes or more with central divider,t junction,stop sign,without licence,male
Magarpatta City-Hadapsar,near petrol pump,3am-6am,fine,3 wheeler,>10,collision brush/side swip,defect in road condition,18-20years,above 10th std,give improper signal,>70,straight road,two lane,t junction,stop sign,regular licence,male
Khadi Machiine Chowk,near bus stop,9am-12pm,fine,3 wheeler,6-8year,head on collision,weather condition,15-17years,not known,passed on curve,<30,Surfaced Roads,single lane,junction with >4 arms,traffic light signal,owner of public commercial vehicle,male
Chandani Chowk-Bavdhan,in bazar,9pm-12am,fine,2 wheeler,>10,right turn collision,defect in road condition,10-14years,not known,alcohol intake,>70,straight road,4 Lanes or more with central divider,junction with >4 arms,police controlled,regular licence,male
Sangamvadi,near bus stop,6pm-9pm,cloudy,2 wheeler,4-6year,hit and run,fault of pedestrian,21-24years,upto 8th std,on wrong side of the road,>70,speed breaker,single lane,unmanned rail crossing,stop sign,learners licence,female
Magarpatta City-Hadapsar,near school/college,9pm-12am,cloudy,"trucks ,tempos,tracto",2-4year,rear end collision,fault of driver,21-24years,above 10th std,passed on hill,50-70,muddy/oily/slippery,4 Lanes or more with central divider,round about junction,police controlled,regular licence,male
Visharant Wadi,near a factory or indu. Area,12am-3am,fine,2 wheeler,6-8year,collision brush/side swip,fault of driver,unknown age,upto 8th std,on wrong side of the road,50-70,speed breaker,4 Lanes or more with central divider,v junction,police controlled,paid driver,male
Navale bridge,near a recreation place/cinema,6am-9am,cloudy,"car/jeep/taxi,buses(4 wheeler)",2-4year,collision brush/side swip,neglect of civic bodies,65 and above,9-10std,on wrong side of the road,50-70,incline road,3 Lanes or more without central Divider Median,round about junction,police controlled,owner of public commercial vehicle,female
Chandani Chowk-Bavdhan,residential area,9pm-12am,cloudy,"trucks ,tempos,tracto",4-6year,hit and run,neglect of civic bodies,35-44years,not known,excceding lawful speed,<30,muddy/oily/slippery,3 Lanes or more without central Divider Median,staggered jucntion,traffic light signal,learners licence,male
Navale bridge,near hospital,9pm-12am,light rain,3 wheeler,>10,rear end collision,defect in condition of motor vehicle,65 and above,above 10th std,excceding lawful speed,50-70,Surfaced Roads,3 Lanes or more without central Divider Median,manned rail crossing,police controlled,learners licence,female
Chandani Chowk-Bavdhan,open area,6pm-9pm,heavy rain,"trucks ,tempos,tracto",1-2year,hit and run,neglect of civic bodies,65 and above,above 10th std,failed to give signal,<30,speed breaker,4 Lanes or more with central divider,manned rail crossing,uncontolled,without licence,female
Chandani Chowk-Bavdhan,near office complex,9pm-12am,heavy rain,other motor vehicles,1-2year,collision brush/side swip,weather condition,6-9years,9-10std,followed too closely,50-70,rutted/pot holes,3 Lanes or more without central Divider Median,manned rail crossing,flashing signal/blinker,owner of private vehicle,male
Khadi Machiine Chowk,near a recreation place/cinema,9pm-12am,heavy rain,2 wheeler,6-8year,collision brush/side swip,fault of driver,15-17years,upto 8th std,other improper passsing,30-50,straight road,two lane,v junction,stop sign,others,male
Khadi Machiine Chowk,near school/college,6am-9am,cloudy,2 wheeler,8-10year,overturning,weather condition,45-54years,upto 8th std,did not give right of way to pedestrian,>70,road under construction/repair,single lane,round about junction,uncontolled,without licence,male
Visharant Wadi,near bus stop,6pm-9pm,heavy rain,other motor vehicles,<1,collision brush/side swip,defect in road condition,35-44years,above 10th std,alcohol intake,<30,Surfaced Roads,two lane,four arm junction,flashing signal/blinker,without licence,female
Sangamvadi,near bus stop,6pm-9pm,cloudy,3 wheeler,6-8year,rear end collision,defect in road condition,45-54years,9-10std,followed too closely,50-70,speed breaker,3 Lanes or more without central Divider Median,junction with >4 arms,flashing signal/blinker,learners licence,female
Pimple Saudagar,near hospital,3am-6am,heavy rain,"car/jeep/taxi,buses(4 wheeler)",>10,rear end collision,poor light,10-14years,above 10th std,followed too closely,>70,straight road,two lane,staggered jucntion,police controlled,learners licence,female
Magarpatta City-Hadapsar,near a factory or indu. Area,9am-12pm,heavy rain,"trucks ,tempos,tracto",2-4year,rear end collision,defect in road condition,65 and above,not known,on wrong side of the road,>70,Wet road,3 Lanes or more without central Divider Median,manned rail crossing,uncontolled,others,female
Khadi Machiine Chowk,near a factory or indu. Area,9am-12pm,fine,2 wheeler,8-10year,rear end collision,defect in road condition,65 and above,upto 8th std,followed too closely,30-50,speed breaker,4 Lanes or more with central divider,four arm junction,flashing signal/blinker,owner of private vehicle,male
Khadi Machiine Chowk,near or inside a village,12pm-3pm,heavy rain,"car/jeep/taxi,buses(4 wheeler)",6-8year,hit and run,defect in road condition,18-20years,upto 8th std,on wrong side of the road,30-50,rutted/pot holes,3 Lanes or more without central Divider Median,t junction,flashing signal/blinker,paid driver,male
Visharant Wadi,near office complex,9pm-12am,fine,2 wheeler,<1,skiding,fault of driver,15-17years,above 10th std,failed to give signal,>70,road under construction/repair,two lane,staggered jucntion,police controlled,owner of private vehicle,female
Pimple Saudagar,near school/college,12am-3am,cloudy,other motor vehicles,2-4year,head on collision,weather condition,35-44years,upto 8th std,cut in sharply after passing,>70,speed breaker,3 Lanes or more without central Divider Median,unmanned rail crossing,traffic light signal,without licence,male
Visharant Wadi,near office complex,12pm-3pm,fine,"car/jeep/taxi,buses(4 wheeler)",>10,skiding,fault of driver,<5years,above 10th std,passed on hill,>70,Surfaced Roads,3 Lanes or more without central Divider Median,t junction,stop sign,others,male
Chandani Chowk-Bavdhan,near a factory or indu. Area,3pm-6pm,light rain,3 wheeler,>10,skiding,neglect of civic bodies,15-17years,upto 8th std,passed on curve,>70,straight road,4 Lanes or more with central divider,v junction,stop sign,regular licence,female
Pimple Saudagar,open area,6pm-9pm,heavy rain,other motor vehicles,6-8year,skiding,defect in road condition,45-54years,9-10std,on wrong side of the road,50-70,rutted/pot holes,4 Lanes or more with central divider,four arm junction,uncontolled,owner of public commercial vehicle,male
Pimple Saudagar,narrow bridge or culverts,12pm-3pm,fine,3 wheeler,<1,hit and run,defect in road condition,15-17years,9-10std,passed on curve,50-70,road under construction/repair,3 Lanes or more without central Divider Median,staggered jucntion,police controlled,regular licence,male
Bhumkar Chowk,at pedestrian crossing,3am-6am,cloudy,3 wheeler,<1,hit and run,poor light,65 and above,upto 8th std,on wrong side of the road,30-50,Surfaced Roads,3 Lanes or more without central Divider Median,unmanned rail crossing,traffic light signal,owner of public commercial vehicle,female
Pimple Saudagar,near school/college,3pm-6pm,fine,other motor vehicles,<1,skiding,weather condition,35-44years,9-10std,other improper passsing,>70,muddy/oily/slippery,two lane,round about junction,stop sign,owner of private vehicle,female
Bhumkar Chowk,near or inside a village,3pm-6pm,cloudy,2 wheeler,2-4year,skiding,fault of pedestrian,45-54years,above 10th std,cut in sharply after passing,<30,incline road,two lane,four arm junction,police controlled,regular licence,female
Pimple Saudagar,at pedestrian crossing,6pm-9pm,fine,other motor vehicles,2-4year,rear end collision,poor light,6-9years,not known,failed to give signal,<30,straight road,single lane,round about junction,flashing signal/blinker,paid driver,male
Sangamvadi,near or inside a village,3pm-6pm,fine,other motor vehicles,2-4year,skiding,defect in road condition,18-20years,9-10std,failed to give signal,50-70,speed breaker,3 Lanes or more without central Divider Median,four arm junction,uncontolled,regular licence,male
Chandani Chowk-Bavdhan,near petrol pump,6pm-9pm,heavy rain,2 wheeler,4-6year,right turn collision,poor light,65 and above,upto 8th std,did not give right of way to vehicle,50-70,Kutcha Roads,single lane,staggered jucntion,police controlled,paid driver,male
Chandani Chowk-Bavdhan,residential area,3am-6am,heavy rain,other motor vehicles,4-6year,overturning,fault of pedestrian,15-17years,9-10std,followed too closely,50-70,incline road,3 Lanes or more without central Divider Median,four arm junction,traffic light signal,others,male
