area,Typeoflocation,time,Weather,typeofvehicle,ageofvehicle,natureofaccidents,causeofaccidents,accidentvictimsage,eduofdriver,accordingtoResponsibilitiesofDriver,speed,roadconditions,roadfeature,typeofjunction,typeoftrafficcontrol,OwnerofTypeofVehiclesandTypeofLicence,Gender,area
Dhokali,residential area,3am-6am,cloudy,3 wheeler,8-10year,skiding,poor light,21-24years,upto 8th std,on wrong side of the road,<30,Wet road,3 Lanes or more without central Divider Median,t junction,traffic light signal,learners licence,female,Dhokali
Manpada,in bazar,9pm-12am,cloudy,other motor vehicles,1-2year,skiding,defect in condition of motor vehicle,18-20years,above 10th std,did not give right of way to vehicle,<30,muddy/oily/slippery,single lane,t junction,police controlled,paid driver,female,Manpada
Panchpakhadi,residential area,3am-6am,heavy rain,3 wheeler,>10,skiding,defect in road condition,15-17years,above 10th std,followed too closely,<30,road under construction/repair,two lane,manned rail crossing,traffic light signal,owner of public commercial vehicle,male,Panchpakhadi
Panchpakhadi,near office complex,3am-6am,fine,2 wheeler,<1,skiding,poor light,35-44years,not known,on wrong side of the road,<30,Surfaced Roads,4 Lanes or more with central divider,v junction,uncontolled,regular licence,male,Panchpakhadi
Panchpakhadi,in bazar,9am-12pm,light rain,"car/jeep/taxi,buses(4 wheeler)",<1,collision brush/side swip,defect in road condition,18-20years,9-10std,alcohol intake,50-70,Surfaced Roads,3 Lanes or more without central Divider Median,manned rail crossing,uncontolled,owner of private vehicle,female,Panchpakhadi
Manpada,near bus stop,9pm-12am,fine,2 wheeler,2-4year,right turn collision,defect in road condition,unknown age,above 10th std,give improper signal,30-50,road under construction/repair,two lane,v junction,flashing signal/blinker,owner of private vehicle,female,Manpada
Panchpakhadi,in bazar,3am-6am,heavy rain,"trucks ,tempos,tracto",4-6year,overturning,poor light,<5years,upto 8th std,did not give right of way to pedestrian,<30,speed breaker,two lane,four arm junction,uncontolled,others,male,Panchpakhadi
Dhokali,near petrol pump,3pm-6pm,fine,3 wheeler,1-2year,right turn collision,neglect of civic bodies,21-24years,above 10th std,other improper passsing,<30,Wet road,3 Lanes or more without central Divider Median,round about junction,uncontolled,owner of public commercial vehicle,female,Dhokali
Manpada,narrow bridge or culverts,3pm-6pm,fine,2 wheeler,6-8year,skiding,neglect of civic bodies,35-44years,not known,cut in sharply after passing,>70,speed breaker,3 Lanes or more without central Divider Median,unmanned rail crossing,flashing signal/blinker,learners licence,male,Manpada
Talav Pali,near office complex,6pm-9pm,heavy rain,"car/jeep/taxi,buses(4 wheeler)",<1,skiding,neglect of civic bodies,<5years,9-10std,other improper passsing,>70,straight road,two lane,junction with >4 arms,traffic light signal,without licence,male,Talav Pali
Manpada,near hospital,9pm-12am,light rain,"car/jeep/taxi,buses(4 wheeler)",<1,hit and run,poor light,35-44years,above 10th std,did not give right of way to vehicle,50-70,rutted/pot holes,single lane,manned rail crossing,police controlled,regular licence,female,Manpada
Manpada,near or inside a village,12pm-3pm,fine,3 wheeler,<1,right turn collision,weather condition,6-9years,not known,give improper signal,50-70,road under construction/repair,3 Lanes or more without central Divider Median,unmanned rail crossing,traffic light signal,paid driver,female,Manpada
Talav Pali,near or inside a village,6pm-9pm,light rain,"car/jeep/taxi,buses(4 wheeler)",8-10year,overturning,defect in condition of motor vehicle,25-34years,not known,on wrong side of the road,30-50,incline road,4 Lanes or more with central divider,four arm junction,traffic light signal,without licence,male,Talav Pali
Panchpakhadi,in bazar,3pm-6pm,fine,"car/jeep/taxi,buses(4 wheeler)",8-10year,collision brush/side swip,fault of pedestrian,10-14years,not known,followed too closely,50-70,Surfaced Roads,4 Lanes or more with central divider,staggered jucntion,flashing signal/blinker,without licence,female,Panchpakhadi
Dhokali,near office complex,12am-3am,cloudy,other motor vehicles,2-4year,head on collision,poor light,55-64years,above 10th std,passed on hill,30-50,straight road,two lane,v junction,uncontolled,others,female,Dhokali
Panchpakhadi,near a recreation place/cinema,12pm-3pm,fine,3 wheeler,<1,rear end collision,weather condition,15-17years,not known,alcohol intake,50-70,straight road,3 Lanes or more without central Divider Median,unmanned rail crossing,traffic light signal,regular licence,female,Panchpakhadi
Talav Pali,near or inside a village,3am-6am,fine,other motor vehicles,8-10year,rear end collision,fault of driver,18-20years,upto 8th std,alcohol intake,<30,Wet road,single lane,junction with >4 arms,stop sign,owner of public commercial vehicle,male,Talav Pali
Panchpakhadi,open area,6am-9am,fine,"trucks ,tempos,tracto",<1,overturning,fault of pedestrian,15-17years,above 10th std,other improper passsing,30-50,Kutcha Roads,3 Lanes or more without central Divider Median,round about junction,stop sign,regular licence,male,Panchpakhadi
Panchpakhadi,at pedestrian crossing,6pm-9pm,heavy rain,2 wheeler,6-8year,rear end collision,defect in condition of motor vehicle,65 and above,9-10std,failed to give signal,30-50,road under construction/repair,3 Lanes or more without central Divider Median,unmanned rail crossing,flashing signal/blinker,paid driver,female,Panchpakhadi
Manpada,narrow bridge or culverts,9am-12pm,cloudy,3 wheeler,2-4year,collision brush/side swip,defect in road condition,unknown age,above 10th std,did not give right of way to pedestrian,50-70,Wet road,single lane,four arm junction,flashing signal/blinker,learners licence,male,Manpada
Talav Pali,near hospital,12am-3am,cloudy,"car/jeep/taxi,buses(4 wheeler)",<1,head on collision,fault of driver,35-44years,upto 8th std,cut in sharply after passing,>70,straight road,single lane,staggered jucntion,uncontolled,paid driver,male,Talav Pali
Talav Pali,at pedestrian crossing,12pm-3pm,fine,"car/jeep/taxi,buses(4 wheeler)",1-2year,head on collision,fault of pedestrian,<5years,not known,followed too closely,>70,road under construction/repair,4 Lanes or more with central divider,junction with >4 arms,traffic light signal,without licence,male,Talav Pali
Panchpakhadi,near a religious place,9am-12pm,fine,other motor vehicles,8-10year,skiding,weather condition,65 and above,above 10th std,alcohol intake,30-50,straight road,single lane,manned rail crossing,stop sign,owner of private vehicle,male,Panchpakhadi
Manpada,near a recreation place/cinema,6pm-9pm,fine,"car/jeep/taxi,buses(4 wheeler)",8-10year,collision brush/side swip,poor light,55-64years,9-10std,did not give right of way to vehicle,<30,muddy/oily/slippery,single lane,manned rail crossing,uncontolled,without licence,male,Manpada
Dhokali,near petrol pump,6am-9am,fine,"trucks ,tempos,tracto",6-8year,skiding,fault of pedestrian,6-9years,not known,alcohol intake,<30,rutted/pot holes,4 Lanes or more with central divider,t junction,flashing signal/blinker,without licence,female,Dhokali
Dhokali,narrow bridge or culverts,6pm-9pm,cloudy,2 wheeler,6-8year,skiding,poor light,<5years,upto 8th std,alcohol intake,>70,Surfaced Roads,3 Lanes or more without central Divider Median,t junction,uncontolled,learners licence,male,Dhokali
Panchpakhadi,near or inside a village,12pm-3pm,cloudy,other motor vehicles,>10,collision brush/side swip,neglect of civic bodies,45-54years,not known,cut in sharply after passing,50-70,Surfaced Roads,3 Lanes or more without central Divider Median,junction with >4 arms,traffic light signal,others,female,Panchpakhadi
Panchpakhadi,near school/college,3am-6am,light rain,other motor vehicles,<1,head on collision,neglect of civic bodies,25-34years,9-10std,other improper passsing,30-50,Wet road,3 Lanes or more without central Divider Median,round about junction,flashing signal/blinker,paid driver,male,Panchpakhadi
Panchpakhadi,at pedestrian crossing,6am-9am,cloudy,"trucks ,tempos,tracto",>10,collision brush/side swip,fault of driver,15-17years,9-10std,excceding lawful speed,30-50,incline road,3 Lanes or more without central Divider Median,unmanned rail crossing,police controlled,regular licence,female,Panchpakhadi
Manpada,near hospital,9am-12pm,light rain,2 wheeler,6-8year,hit and run,neglect of civic bodies,25-34years,upto 8th std,did not give right of way to pedestrian,30-50,muddy/oily/slippery,single lane,junction with >4 arms,flashing signal/blinker,paid driver,male,Manpada
Talav Pali,open area,9pm-12am,light rain,3 wheeler,<1,rear end collision,defect in condition of motor vehicle,55-64years,9-10std,on wrong side of the road,<30,straight road,two lane,junction with >4 arms,police controlled,learners licence,male,Talav Pali
Dhokali,near school/college,9am-12pm,cloudy,2 wheeler,<1,overturning,defect in road condition,6-9years,above 10th std,alcohol intake,30-50,incline road,two lane,four arm junction,traffic light signal,paid driver,male,Dhokali
Manpada,near school/college,6am-9am,cloudy,"trucks ,tempos,tracto",8-10year,collision brush/side swip,fault of pedestrian,<5years,9-10std,cut in sharply after passing,>70,straight road,4 Lanes or more with central divider,manned rail crossing,flashing signal/blinker,learners licence,female,Manpada
Panchpakhadi,near bus stop,6am-9am,light rain,3 wheeler,<1,head on collision,fault of pedestrian,6-9years,above 10th std,did not give right of way to vehicle,>70,rutted/pot holes,single lane,staggered jucntion,stop sign,learners licence,female,Panchpakhadi
Panchpakhadi,narrow bridge or culverts,3pm-6pm,heavy rain,3 wheeler,>10,skiding,defect in road condition,15-17years,not known,followed too closely,<30,road under construction/repair,3 Lanes or more without central Divider Median,staggered jucntion,police controlled,others,female,Panchpakhadi
Talav Pali,residential area,12pm-3pm,cloudy,other motor vehicles,>10,right turn collision,defect in road condition,45-54years,9-10std,followed too closely,50-70,speed breaker,4 Lanes or more with central divider,manned rail crossing,flashing signal/blinker,others,male,Talav Pali
Manpada,near hospital,6am-9am,heavy rain,2 wheeler,>10,hit and run,weather condition,65 and above,above 10th std,did not give right of way to pedestrian,30-50,muddy/oily/slippery,4 Lanes or more with central divider,v junction,uncontolled,paid driver,female,Manpada
Panchpakhadi,near office complex,3pm-6pm,light rain,3 wheeler,8-10year,right turn collision,fault of pedestrian,45-54years,upto 8th std,cut in sharply after passing,<30,speed breaker,two lane,v junction,uncontolled,regular licence,female,Panchpakhadi
Manpada,near school/college,6pm-9pm,heavy rain,"trucks ,tempos,tracto",1-2year,skiding,poor light,unknown age,9-10std,cut in sharply after passing,<30,straight road,4 Lanes or more with central divider,four arm junction,flashing signal/blinker,without licence,female,Manpada
Panchpakhadi,at pedestrian crossing,12pm-3pm,light rain,other motor vehicles,2-4year,rear end collision,weather condition,35-44years,not known,excceding lawful speed,30-50,incline road,3 Lanes or more without central Divider Median,four arm junction,traffic light signal,learners licence,female,Panchpakhadi
Manpada,in bazar,6pm-9pm,fine,2 wheeler,<1,rear end collision,defect in road condition,10-14years,upto 8th std,failed to give signal,50-70,Kutcha Roads,single lane,staggered jucntion,flashing signal/blinker,learners licence,female,Manpada
Panchpakhadi,near hospital,9pm-12am,light rain,"trucks ,tempos,tracto",2-4year,collision brush/side swip,defect in condition of motor vehicle,55-64years,9-10std,give improper signal,>70,Surfaced Roads,4 Lanes or more with central divider,v junction,flashing signal/blinker,others,male,Panchpakhadi
Manpada,near a religious place,3pm-6pm,cloudy,2 wheeler,>10,right turn collision,fault of driver,unknown age,above 10th std,failed to give signal,50-70,Wet road,4 Lanes or more with central divider,four arm junction,traffic light signal,owner of private vehicle,male,Manpada
Manpada,near or inside a village,3pm-6pm,heavy rain,"car/jeep/taxi,buses(4 wheeler)",2-4year,hit and run,weather condition,15-17years,not known,did not give right of way to pedestrian,<30,speed breaker,4 Lanes or more with central divider,v junction,traffic light signal,others,male,Manpada
Panchpakhadi,near or inside a village,9am-12pm,cloudy,2 wheeler,1-2year,skiding,fault of pedestrian,35-44years,above 10th std,passed on hill,>70,rutted/pot holes,3 Lanes or more without central Divider Median,four arm junction,uncontolled,paid driver,male,Panchpakhadi
Panchpakhadi,narrow bridge or culverts,9am-12pm,light rain,"car/jeep/taxi,buses(4 wheeler)",4-6year,hit and run,defect in condition of motor vehicle,6-9years,upto 8th std,give improper signal,50-70,rutted/pot holes,single lane,four arm junction,police controlled,regular licence,male,Panchpakhadi
Manpada,near or inside a village,6pm-9pm,fine,3 wheeler,4-6year,overturning,neglect of civic bodies,10-14years,not known,excceding lawful speed,30-50,straight road,3 Lanes or more without central Divider Median,four arm junction,traffic light signal,without licence,male,Manpada
Talav Pali,narrow bridge or culverts,12pm-3pm,fine,"car/jeep/taxi,buses(4 wheeler)",2-4year,hit and run,fault of driver,55-64years,not known,passed on hill,>70,speed breaker,3 Lanes or more without central Divider Median,four arm junction,stop sign,owner of private vehicle,male,Talav Pali
Talav Pali,near petrol pump,3pm-6pm,heavy rain,other motor vehicles,6-8year,collision brush/side swip,defect in road condition,10-14years,9-10std,alcohol intake,>70,Surfaced Roads,single lane,v junction,uncontolled,regular licence,female,Talav Pali
Dhokali,narrow bridge or culverts,6pm-9pm,fine,2 wheeler,1-2year,collision brush/side swip,weather condition,<5years,upto 8th std,failed to give signal,>70,Wet road,4 Lanes or more with central divider,staggered jucntion,uncontolled,paid driver,male,Dhokali
Dhokali,narrow bridge or culverts,3am-6am,fine,"trucks ,tempos,tracto",2-4year,right turn collision,neglect of civic bodies,21-24years,not known,alcohol intake,50-70,Surfaced Roads,4 Lanes or more with central divider,junction with >4 arms,traffic light signal,others,female,Dhokali
Dhokali,near petrol pump,6pm-9pm,heavy rain,2 wheeler,>10,skiding,fault of driver,10-14years,9-10std,give improper signal,<30,rutted/pot holes,single lane,junction with >4 arms,traffic light signal,without licence,female,Dhokali
Manpada,near petrol pump,3pm-6pm,heavy rain,"car/jeep/taxi,buses(4 wheeler)",6-8year,skiding,defect in road condition,35-44years,upto 8th std,passed on hill,50-70,incline road,two lane,junction with >4 arms,police controlled,learners licence,female,Manpada
Panchpakhadi,near petrol pump,12am-3am,cloudy,"car/jeep/taxi,buses(4 wheeler)",8-10year,hit and run,fault of driver,<5years,not known,give improper signal,>70,Kutcha Roads,3 Lanes or more without central Divider Median,round about junction,stop sign,learners licence,male,Panchpakhadi
Dhokali,residential area,3pm-6pm,heavy rain,"trucks ,tempos,tracto",6-8year,skiding,weather condition,unknown age,upto 8th std,alcohol intake,<30,road under construction/repair,single lane,junction with >4 arms,stop sign,regular licence,male,Dhokali
Dhokali,near bus stop,6pm-9pm,heavy rain,"car/jeep/taxi,buses(4 wheeler)",1-2year,right turn collision,poor light,<5years,above 10th std,excceding lawful speed,30-50,straight road,two lane,junction with >4 arms,flashing signal/blinker,learners licence,male,Dhokali
Manpada,narrow bridge or culverts,6pm-9pm,heavy rain,3 wheeler,>10,collision brush/side swip,fault of driver,21-24years,above 10th std,failed to give signal,<30,Surfaced Roads,4 Lanes or more with central divider,t junction,uncontolled,others,female,Manpada
Panchpakhadi,near school/college,3am-6am,cloudy,other motor vehicles,>10,overturning,poor light,18-20years,not known,alcohol intake,>70,Surfaced Roads,3 Lanes or more without central Divider Median,t junction,traffic light signal,owner of private vehicle,female,Panchpakhadi
Manpada,near hospital,12am-3am,cloudy,"car/jeep/taxi,buses(4 wheeler)",6-8year,overturning,defect in road condition,unknown age,9-10std,give improper signal,<30,muddy/oily/slippery,3 Lanes or more without central Divider Median,t junction,traffic light signal,owner of public commercial vehicle,male,Manpada
Manpada,narrow bridge or culverts,9pm-12am,heavy rain,"car/jeep/taxi,buses(4 wheeler)",4-6year,collision brush/side swip,weather condition,25-34years,above 10th std,excceding lawful speed,>70,incline road,4 Lanes or more with central divider,manned rail crossing,uncontolled,regular licence,male,Manpada
Talav Pali,near a factory or indu. Area,12pm-3pm,cloudy,2 wheeler,4-6year,overturning,fault of driver,10-14years,not known,passed on curve,<30,Surfaced Roads,two lane,round about junction,flashing signal/blinker,owner of private vehicle,female,Talav Pali
Panchpakhadi,open area,6pm-9pm,light rain,"trucks ,tempos,tracto",4-6year,rear end collision,neglect of civic bodies,21-24years,above 10th std,give improper signal,>70,Kutcha Roads,single lane,round about junction,police controlled,without licence,male,Panchpakhadi
Dhokali,at pedestrian crossing,12am-3am,fine,"trucks ,tempos,tracto",1-2year,skiding,neglect of civic bodies,25-34years,not known,did not give right of way to pedestrian,30-50,rutted/pot holes,4 Lanes or more with central divider,staggered jucntion,uncontolled,others,female,Dhokali
Talav Pali,near office complex,9pm-12am,light rain,other motor vehicles,8-10year,head on collision,defect in condition of motor vehicle,45-54years,above 10th std,on wrong side of the road,50-70,road under construction/repair,two lane,junction with >4 arms,police controlled,without licence,female,Talav Pali
Dhokali,near hospital,12pm-3pm,fine,"car/jeep/taxi,buses(4 wheeler)",>10,hit and run,fault of driver,10-14years,9-10std,failed to give signal,30-50,Surfaced Roads,single lane,unmanned rail crossing,stop sign,owner of public commercial vehicle,female,Dhokali
Talav Pali,near bus stop,12am-3am,heavy rain,other motor vehicles,6-8year,right turn collision,fault of driver,45-54years,upto 8th std,give improper signal,<30,Wet road,two lane,manned rail crossing,flashing signal/blinker,owner of public commercial vehicle,female,Talav Pali
Panchpakhadi,near petrol pump,9am-12pm,heavy rain,"trucks ,tempos,tracto",1-2year,overturning,defect in road condition,55-64years,not known,followed too closely,50-70,straight road,3 Lanes or more without central Divider Median,manned rail crossing,flashing signal/blinker,paid driver,female,Panchpakhadi
Dhokali,near petrol pump,12pm-3pm,light rain,other motor vehicles,1-2year,head on collision,poor light,35-44years,upto 8th std,excceding lawful speed,30-50,Surfaced Roads,single lane,manned rail crossing,police controlled,others,male,Dhokali
Dhokali,near school/college,3pm-6pm,light rain,other motor vehicles,8-10year,right turn collision,weather condition,25-34years,9-10std,failed to give signal,<30,Kutcha Roads,3 Lanes or more without central Divider Median,four arm junction,traffic light signal,owner of private vehicle,female,Dhokali
Panchpakhadi,near a recreation place/cinema,6pm-9pm,cloudy,3 wheeler,4-6year,head on collision,poor light,18-20years,upto 8th std,did not give right of way to vehicle,30-50,muddy/oily/slippery,single lane,t junction,stop sign,regular licence,male,Panchpakhadi
Manpada,residential area,3am-6am,light rain,"trucks ,tempos,tracto",2-4year,skiding,neglect of civic bodies,25-34years,not known,cut in sharply after passing,30-50,speed breaker,4 Lanes or more with central divider,junction with >4 arms,stop sign,others,male,Manpada
Talav Pali,at pedestrian crossing,6pm-9pm,heavy rain,"car/jeep/taxi,buses(4 wheeler)",>10,rear end collision,fault of driver,6-9years,above 10th std,on wrong side of the road,50-70,incline road,3 Lanes or more without central Divider Median,t junction,flashing signal/blinker,without licence,male,Talav Pali
Dhokali,near office complex,6am-9am,cloudy,other motor vehicles,1-2year,hit and run,fault of driver,10-14years,not known,alcohol intake,<30,Surfaced Roads,single lane,unmanned rail crossing,uncontolled,others,female,Dhokali
Dhokali,near hospital,6am-9am,cloudy,"trucks ,tempos,tracto",1-2year,right turn collision,fault of driver,6-9years,not known,failed to give signal,30-50,road under construction/repair,two lane,junction with >4 arms,police controlled,owner of private vehicle,female,Dhokali
Manpada,open area,3pm-6pm,light rain,"car/jeep/taxi,buses(4 wheeler)",1-2year,skiding,fault of pedestrian,18-20years,above 10th std,give improper signal,>70,Surfaced Roads,two lane,round about junction,police controlled,owner of private vehicle,male,Manpada
Talav Pali,near school/college,6pm-9pm,fine,"car/jeep/taxi,buses(4 wheeler)",1-2year,rear end collision,fault of driver,6-9years,above 10th std,did not give right of way to pedestrian,50-70,muddy/oily/slippery,3 Lanes or more without central Divider Median,junction with >4 arms,police controlled,paid driver,female,Talav Pali
Talav Pali,near hospital,9pm-12am,light rain,3 wheeler,8-10year,rear end collision,fault of pedestrian,10-14years,upto 8th std,cut in sharply after passing,>70,incline road,4 Lanes or more with central divider,t junction,police controlled,others,male,Talav Pali
Dhokali,residential area,12pm-3pm,fine,3 wheeler,8-10year,right turn collision,defect in condition of motor vehicle,21-24years,upto 8th std,on wrong side of the road,50-70,Surfaced Roads,4 Lanes or more with central divider,junction with >4 arms,flashing signal/blinker,without licence,female,Dhokali
Panchpakhadi,near hospital,12am-3am,heavy rain,"trucks ,tempos,tracto",2-4year,collision brush/side swip,fault of pedestrian,21-24years,9-10std,give improper signal,50-70,road under construction/repair,single lane,round about junction,stop sign,learners licence,male,Panchpakhadi
Panchpakhadi,near a religious place,3pm-6pm,light rain,"car/jeep/taxi,buses(4 wheeler)",>10,overturning,defect in condition of motor vehicle,45-54years,above 10th std,other improper passsing,50-70,Kutcha Roads,single lane,v junction,police controlled,others,male,Panchpakhadi
Manpada,near or inside a village,12am-3am,fine,other motor vehicles,4-6year,rear end collision,defect in condition of motor vehicle,25-34years,upto 8th std,excceding lawful speed,<30,rutted/pot holes,4 Lanes or more with central divider,round about junction,flashing signal/blinker,learners licence,female,Manpada
Dhokali,near bus stop,9am-12pm,heavy rain,2 wheeler,<1,skiding,defect in road condition,unknown age,not known,failed to give signal,>70,Surfaced Roads,3 Lanes or more without central Divider Median,four arm junction,traffic light signal,owner of private vehicle,female,Dhokali
Panchpakhadi,open area,12pm-3pm,light rain,2 wheeler,2-4year,collision brush/side swip,fault of driver,45-54years,upto 8th std,passed on curve,>70,muddy/oily/slippery,two lane,unmanned rail crossing,flashing signal/blinker,owner of public commercial vehicle,female,Panchpakhadi
Manpada,at pedestrian crossing,6am-9am,heavy rain,other motor vehicles,<1,overturning,fault of pedestrian,10-14years,above 10th std,followed too closely,30-50,Surfaced Roads,two lane,four arm junction,stop sign,others,male,Manpada
Talav Pali,near petrol pump,12am-3am,fine,3 wheeler,1-2year,overturning,defect in condition of motor vehicle,35-44years,not known,excceding lawful speed,<30,Kutcha Roads,two lane,round about junction,stop sign,without licence,female,Talav Pali
Dhokali,near a factory or indu. Area,9pm-12am,light rain,other motor vehicles,2-4year,collision brush/side swip,fault of driver,18-20years,9-10std,failed to give signal,30-50,straight road,single lane,staggered jucntion,police controlled,without licence,male,Dhokali
Dhokali,near a religious place,3pm-6pm,light rain,other motor vehicles,<1,overturning,defect in road condition,65 and above,9-10std,on wrong side of the road,<30,rutted/pot holes,two lane,junction with >4 arms,flashing signal/blinker,paid driver,male,Dhokali
Talav Pali,at pedestrian crossing,3pm-6pm,light rain,other motor vehicles,>10,overturning,fault of pedestrian,21-24years,9-10std,passed on hill,50-70,muddy/oily/slippery,3 Lanes or more without central Divider Median,unmanned rail crossing,traffic light signal,regular licence,male,Talav Pali
Manpada,at pedestrian crossing,12pm-3pm,cloudy,"trucks ,tempos,tracto",>10,right turn collision,defect in condition of motor vehicle,55-64years,9-10std,did not give right of way to vehicle,>70,Wet road,4 Lanes or more with central divider,t junction,uncontolled,paid driver,male,Manpada
Talav Pali,near a religious place,3pm-6pm,cloudy,other motor vehicles,2-4year,right turn collision,defect in road condition,25-34years,above 10th std,on wrong side of the road,50-70,Wet road,two lane,junction with >4 arms,police controlled,regular licence,female,Talav Pali
Manpada,near or inside a village,12am-3am,fine,other motor vehicles,8-10year,collision brush/side swip,poor light,25-34years,not known,cut in sharply after passing,30-50,speed breaker,3 Lanes or more without central Divider Median,staggered jucntion,flashing signal/blinker,owner of public commercial vehicle,male,Manpada
Dhokali,open area,12am-3am,heavy rain,other motor vehicles,4-6year,overturning,fault of driver,25-34years,upto 8th std,followed too closely,<30,straight road,single lane,four arm junction,police controlled,regular licence,female,Dhokali
Hiranandani Estate,near office complex,6pm-9pm,fine,2 wheeler,8-10year,right turn collision,fault of pedestrian,45-54years,above 10th std,failed to give signal,>70,straight road,3 Lanes or more without central Divider Median,four arm junction,stop sign,learners licence,female,Hiranandani Estate
Hiranandani Estate,near or inside a village,3pm-6pm,fine,3 wheeler,1-2year,right turn collision,defect in condition of motor vehicle,25-34years,not known,excceding lawful speed,50-70,muddy/oily/slippery,4 Lanes or more with central divider,round about junction,flashing signal/blinker,paid driver,female,Hiranandani Estate
Vasant Vihar,near petrol pump,12am-3am,light rain,other motor vehicles,<1,collision brush/side swip,defect in road condition,21-24years,not known,alcohol intake,30-50,Wet road,4 Lanes or more with central divider,round about junction,stop sign,learners licence,female,Vasant Vihar
Panchpakhadi,near school/college,6pm-9pm,cloudy,3 wheeler,>10,hit and run,poor light,65 and above,9-10std,did not give right of way to vehicle,>70,muddy/oily/slippery,4 Lanes or more with central divider,t junction,flashing signal/blinker,others,female,Panchpakhadi
Dhokali,narrow bridge or culverts,3am-6am,cloudy,"car/jeep/taxi,buses(4 wheeler)",8-10year,overturning,fault of pedestrian,35-44years,9-10std,did not give right of way to vehicle,>70,muddy/oily/slippery,3 Lanes or more without central Divider Median,manned rail crossing,police controlled,paid driver,male,Dhokali
Majiwada,near hospital,3pm-6pm,light rain,"car/jeep/taxi,buses(4 wheeler)",8-10year,hit and run,defect in road condition,18-20years,9-10std,give improper signal,50-70,Kutcha Roads,3 Lanes or more without central Divider Median,t junction,flashing signal/blinker,learners licence,male,Majiwada
Eastern Express Highway,near a recreation place/cinema,3am-6am,heavy rain,other motor vehicles,>10,hit and run,defect in road condition,65 and above,upto 8th std,cut in sharply after passing,50-70,road under construction/repair,3 Lanes or more without central Divider Median,four arm junction,uncontolled,others,female,Eastern Express Highway
Kapurbawdi,near petrol pump,6am-9am,light rain,"car/jeep/taxi,buses(4 wheeler)",>10,head on collision,neglect of civic bodies,65 and above,upto 8th std,on wrong side of the road,<30,Surfaced Roads,two lane,unmanned rail crossing,uncontolled,learners licence,female,Kapurbawdi
Hiranandani Estate,near a recreation place/cinema,3am-6am,light rain,2 wheeler,1-2year,rear end collision,neglect of civic bodies,25-34years,above 10th std,passed on hill,>70,incline road,4 Lanes or more with central divider,manned rail crossing,flashing signal/blinker,learners licence,male,Hiranandani Estate
Talav Pali,residential area,3pm-6pm,light rain,other motor vehicles,1-2year,hit and run,fault of pedestrian,15-17years,upto 8th std,on wrong side of the road,50-70,speed breaker,two lane,manned rail crossing,uncontolled,regular licence,female,Talav Pali
Vasant Vihar,near school/college,6pm-9pm,fine,"trucks ,tempos,tracto",2-4year,overturning,weather condition,unknown age,upto 8th std,passed on hill,50-70,speed breaker,single lane,v junction,traffic light signal,others,male,Vasant Vihar
Vartak Nagar,near a religious place,3pm-6pm,light rain,3 wheeler,1-2year,head on collision,poor light,21-24years,9-10std,followed too closely,<30,muddy/oily/slippery,single lane,t junction,flashing signal/blinker,others,male,Vartak Nagar
Kapurbawdi,near school/college,9am-12pm,fine,2 wheeler,4-6year,head on collision,fault of driver,65 and above,above 10th std,alcohol intake,<30,Surfaced Roads,single lane,unmanned rail crossing,uncontolled,owner of public commercial vehicle,male,Kapurbawdi
Dhokali,near bus stop,12pm-3pm,cloudy,"car/jeep/taxi,buses(4 wheeler)",6-8year,head on collision,neglect of civic bodies,18-20years,not known,cut in sharply after passing,<30,straight road,two lane,four arm junction,flashing signal/blinker,owner of private vehicle,male,Dhokali
Dhokali,near hospital,12pm-3pm,fine,"car/jeep/taxi,buses(4 wheeler)",8-10year,skiding,defect in road condition,6-9years,above 10th std,passed on curve,<30,Kutcha Roads,4 Lanes or more with central divider,unmanned rail crossing,stop sign,without licence,male,Dhokali
Kopri,near or inside a village,3pm-6pm,light rain,other motor vehicles,6-8year,hit and run,neglect of civic bodies,45-54years,above 10th std,did not give right of way to pedestrian,>70,rutted/pot holes,3 Lanes or more without central Divider Median,four arm junction,stop sign,regular licence,female,Kopri
Vasant Vihar,near office complex,12am-3am,light rain,"trucks ,tempos,tracto",6-8year,head on collision,weather condition,<5years,9-10std,give improper signal,30-50,muddy/oily/slippery,single lane,t junction,police controlled,regular licence,male,Vasant Vihar
Panchpakhadi,near hospital,6am-9am,fine,2 wheeler,8-10year,right turn collision,defect in road condition,6-9years,not known,passed on hill,<30,Surfaced Roads,4 Lanes or more with central divider,unmanned rail crossing,stop sign,paid driver,male,Panchpakhadi
Majiwada,near school/college,3am-6am,heavy rain,"trucks ,tempos,tracto",8-10year,overturning,defect in road condition,65 and above,not known,on wrong side of the road,50-70,Kutcha Roads,3 Lanes or more without central Divider Median,manned rail crossing,stop sign,others,male,Majiwada
Panchpakhadi,near a religious place,6pm-9pm,fine,"trucks ,tempos,tracto",2-4year,skiding,defect in road condition,10-14years,upto 8th std,alcohol intake,<30,speed breaker,4 Lanes or more with central divider,round about junction,police controlled,learners licence,female,Panchpakhadi
Ghodbander,near a recreation place/cinema,6pm-9pm,fine,3 wheeler,1-2year,skiding,defect in condition of motor vehicle,45-54years,above 10th std,excceding lawful speed,50-70,Surfaced Roads,two lane,staggered jucntion,stop sign,learners licence,male,Ghodbander
